,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,2,1,1,2019-04-06,2019-04-29,CRYPTO:STEEMUSD,CRYPTO:LTCUSD,-0.3460524480966037,0.2801166572181275,1,-1,0.0204413996592572,0.2958398882503953
1,2,2,1,2019-03-25,2019-04-29,CRYPTO:ETHUSD,CRYPTO:KCSUSD,0.0826557105766212,0.1647181030159753,1,-1,126.1963769600895,0.2475869133365637
2,2,3,1,2019-04-02,2019-04-29,CRYPTO:ARKUSD,CRYPTO:LTCUSD,-0.3645206887758569,0.1420692536697905,1,-1,0.0222130178920312,-0.0163009800795207
3,2,4,1,2019-03-25,2019-04-29,CRYPTO:BCHUSD,CRYPTO:KCSUSD,0.4757526136793046,0.1647181030159753,1,-1,313.947092702125,0.494878446751739
4,2,5,1,2019-03-29,2019-04-29,CRYPTO:ZRXUSD,CRYPTO:BATUSD,-0.122281045751634,-0.3007675146505499,1,-1,3.559698944494964,-0.5184265037982513
5,2,6,1,2019-04-03,2019-04-29,CRYPTO:BTGUSD,CRYPTO:LTCUSD,-0.0420731707317071,0.2230964030338466,1,-1,0.4277497442561445,0.2821647505546973
6,2,7,1,2019-03-29,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.1914232673554881,-0.3007675146505499,1,-1,0.3283112514902869,-0.5155532745247633
7,2,8,1,2019-03-02,2019-04-29,CRYPTO:ENJUSD,CRYPTO:ELFUSD,-0.7448292742173344,0.0048424871071313,-1,1,0.0888565039156819,-1.278842451213184
8,2,9,1,2019-03-08,2019-04-24,CRYPTO:ENJUSD,CRYPTO:BNBUSD,0.2275455849294346,0.6261402319439286,-1,1,0.0073468774798533,0.7220278986598608
9,2,10,1,2019-03-25,2019-04-29,CRYPTO:THETAUSD,CRYPTO:BNBUSD,-0.1691310489010907,-0.2804421720535612,1,-1,0.0131192070299591,-0.4878575288427481
10,2,11,1,2019-03-29,2019-04-29,CRYPTO:KCSUSD,CRYPTO:ETHUSD,0.266685534591195,0.0416998380322288,-1,1,0.0074268660071883,0.3265289116940078
11,2,12,1,2019-03-25,2019-04-29,CRYPTO:KCSUSD,CRYPTO:BCHUSD,0.1647181030159753,0.4757526136793046,-1,1,0.00294991651417,0.4857261921164885
12,2,13,1,2019-04-06,2019-04-29,CRYPTO:LTCUSD,CRYPTO:STEEMUSD,0.2801166572181275,-0.3460524480966037,-1,1,42.37660716108276,0.3245502153302069
13,2,14,1,2019-04-03,2019-04-29,CRYPTO:LTCUSD,CRYPTO:ARKUSD,0.2230964030338466,-0.3222282345481317,-1,1,43.0249174245528,0.1682193007465972
14,2,15,1,2019-03-16,2019-04-29,CRYPTO:LTCUSD,CRYPTO:NEOUSD,-0.0912089654537289,-0.0108126306940204,-1,1,1.7436855593671945,-0.1484029935394913
15,2,16,1,2019-04-06,2019-04-29,CRYPTO:LTCUSD,CRYPTO:MIOTAUSD,0.2801166572181275,-0.1247118938690268,-1,1,74.21425766904935,0.3845558206271283
16,2,17,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:ZRXUSD,-0.3007675146505499,-0.122281045751634,-1,1,0.2130253186390054,-0.5347556675394687
17,2,18,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.3007675146505499,-0.1914232673554881,-1,1,2.602546494613589,-0.5236087800201182
18,2,19,1,2019-04-02,2019-04-29,CRYPTO:BATUSD,CRYPTO:BTMUSD,-0.1447691538800397,-0.2403100775193798,-1,1,0.2868911013673466,-0.3092434116904218
19,2,20,1,2019-03-16,2019-04-29,CRYPTO:NEOUSD,CRYPTO:LTCUSD,-0.0108126306940204,-0.0912089654537289,1,-1,0.5589917906093231,-0.1477108212844127
20,2,21,1,2019-03-05,2019-04-29,CRYPTO:EOSUSD,CRYPTO:BNBUSD,0.1865580554247947,-0.5696221674177722,1,-1,1.021249737766048,-0.818314404722743
21,2,22,1,2019-04-06,2019-04-29,CRYPTO:MIOTAUSD,CRYPTO:LTCUSD,-0.1247118938690268,0.2801166572181275,1,-1,0.0113372971238178,0.359643375024312
22,2,23,1,2019-03-29,2019-04-29,CRYPTO:ETCUSD,CRYPTO:KCSUSD,0.1292181069958848,0.266685534591195,1,-1,4.636041142336051,0.4241281592273994
23,3,1,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:ELFUSD,-0.0047939896452409,-0.0084648173633743,-1,1,0.2089368060626857,-0.0115188529220079
24,3,2,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:LSKUSD,-0.0047939896452409,-0.1024116330041345,-1,1,0.0268485902523119,-0.0732279503815251
25,3,3,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:AEUSD,-0.0047939896452409,-0.0074832611264278,-1,1,0.0712187738212362,-0.0108535633028471
26,3,4,1,2019-06-24,2019-06-29,CRYPTO:ICXUSD,CRYPTO:QTUMUSD,-0.0280375950160424,-0.3351626422960849,1,-1,0.2152336274780467,-0.5008518141363737
27,3,5,1,2019-06-28,2019-06-29,CRYPTO:MANAUSD,CRYPTO:LINKUSD,-0.068738170670177,-0.1935618584701564,-1,-1,0.0472953469983206,-0.3278922695515531
28,3,6,1,2019-06-22,2019-06-29,CRYPTO:XMRUSD,CRYPTO:ZENUSD,0.1305749128919859,-0.0206905722610811,-1,1,4.847440401535681,0.167654937202715
29,3,7,1,2019-06-28,2019-06-29,CRYPTO:QTUMUSD,CRYPTO:ZILUSD,-0.0517489393173562,0.0515510685774871,-1,1,116.74156215275482,-0.0475958008933449
30,3,8,1,2019-06-07,2019-06-29,CRYPTO:ELFUSD,CRYPTO:ARDRUSD,-0.0084648173633743,-0.0047939896452409,1,-1,4.698610334839314,-0.011545232271913
31,3,9,1,2019-06-23,2019-06-29,CRYPTO:ZENUSD,CRYPTO:XMRUSD,0.00502219540525,0.1289815865258748,1,-1,0.1868193287874085,0.1773153905783857
32,3,10,1,2019-05-11,2019-06-29,CRYPTO:LTCUSD,CRYPTO:EOSUSD,-0.5120704913469829,0.1435509251870319,-1,1,8.292056085701704,-0.5761461427862512
33,3,11,1,2019-06-22,2019-06-29,CRYPTO:OMGUSD,CRYPTO:NEOUSD,0.2669109239859903,-0.0573568045663992,1,-1,0.2158093083936927,0.128132463742457
34,3,12,1,2019-06-26,2019-06-29,CRYPTO:ZILUSD,CRYPTO:QTUMUSD,-0.0435287210876351,-0.0790005090379568,1,-1,0.0079854687146619,-0.1360242256476327
35,3,13,1,2019-06-07,2019-06-29,CRYPTO:LSKUSD,CRYPTO:ARDRUSD,-0.1024116330041345,-0.0047939896452409,1,-1,36.02625116112427,-0.0746643083229453
36,3,14,1,2019-06-25,2019-06-29,CRYPTO:LSKUSD,CRYPTO:NEOUSD,-0.0961442343817409,0.0575021933827287,1,-1,0.1609830063145688,-0.0082240499704934
