,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,1,1,1,2019-01-01,2019-03-01,CRYPTO:MANAUSD,CRYPTO:USDTUSD,-0.08514087941712278,0.009946290033817529,1,-1,1,0.01142526585997357
1,1,2,1,2019-01-11,2019-03-01,CRYPTO:MANAUSD,CRYPTO:LINKUSD,0.09238630817439342,0.00022190878930505864,1,-1,1,0.015691638745247514
2,1,3,1,2019-01-01,2019-03-01,CRYPTO:BATUSD,CRYPTO:USDTUSD,0.24166907883461564,0.009946290033817529,1,-1,1,0.07327074518371544
3,2,1,1,2019-04-21,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.11791594564677788,0.16286290264739822,1,-1,1,0.26311342488130096
4,2,2,1,2019-03-08,2019-04-29,CRYPTO:MANAUSD,CRYPTO:ENJUSD,0.06546747816799448,0.3009859570675537,1,-1,1,0.5168646742916284
5,2,3,1,2019-03-06,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BNBUSD,0.15700003728331446,-0.4732919683926855,1,-1,1,-0.942926980147447
6,2,4,1,2019-04-21,2019-04-29,CRYPTO:XMRUSD,CRYPTO:BATUSD,-0.11446926558621695,0.16286290264739822,1,-1,1,-0.22539674538957363
7,2,5,1,2019-04-21,2019-04-29,CRYPTO:ARDRUSD,CRYPTO:BATUSD,-0.21352344444557125,0.16286290264739822,1,-1,1,0.21010335869368366
8,2,6,1,2019-04-20,2019-04-29,CRYPTO:XRPUSD,CRYPTO:BATUSD,-0.12088783194609598,0.1089310862650078,1,-1,1,0.014549283934753214
9,2,7,1,2019-04-21,2019-04-29,CRYPTO:PIVXUSD,CRYPTO:BATUSD,-0.3478599129953578,0.16286290264739822,1,-1,1,-0.3635846285402311
10,2,8,1,2019-04-21,2019-04-29,CRYPTO:QTUMUSD,CRYPTO:BATUSD,-0.16782083692385896,0.16286290264739822,1,-1,1,-0.24359739731657926
11,2,9,1,2019-04-20,2019-04-29,CRYPTO:NEOUSD,CRYPTO:BATUSD,-0.1515677394641457,0.1089310862650078,1,-1,1,-0.28415361730299077
12,2,10,1,2019-04-25,2019-04-29,CRYPTO:USDTUSD,CRYPTO:BATUSD,0.0025484199796126372,0.0404395596199526,1,-1,1,0.02641560985745565
13,2,11,1,2019-04-21,2019-04-29,CRYPTO:SNTUSD,CRYPTO:BATUSD,-0.14938050319660345,0.16286290264739822,1,-1,1,0.29162413639715795
14,2,12,1,2019-04-20,2019-04-29,CRYPTO:OMGUSD,CRYPTO:BATUSD,-0.23195789669224198,0.1089310862650078,1,-1,1,-0.3445590680071881
15,2,13,1,2019-04-21,2019-04-29,CRYPTO:ARKUSD,CRYPTO:BATUSD,-0.23727287906942907,0.16286290264739822,1,-1,1,-0.13748256969268632
16,2,14,1,2019-04-20,2019-04-29,CRYPTO:ETCUSD,CRYPTO:BATUSD,-0.12008978675645332,0.1089310862650078,1,-1,1,-0.21169979246829249
17,2,15,1,2019-04-20,2019-04-29,CRYPTO:BTGUSD,CRYPTO:BATUSD,-0.08768873403019739,0.1089310862650078,1,-1,1,-0.1661558935682116
18,2,16,1,2019-04-19,2019-04-29,CRYPTO:ZRXUSD,CRYPTO:BATUSD,-0.1795415388751085,0.02536356943864615,1,-1,1,-0.13945106112276345
19,2,17,1,2019-04-21,2019-04-29,CRYPTO:BTSUSD,CRYPTO:BATUSD,-0.19530086184247142,0.16286290264739822,1,-1,1,0.23751706510629644
20,2,18,1,2019-04-20,2019-04-29,CRYPTO:ZILUSD,CRYPTO:BATUSD,-0.25155325699255016,0.1089310862650078,1,-1,1,0.18174326228182436
21,2,19,1,2019-04-19,2019-04-29,CRYPTO:XLMUSD,CRYPTO:BATUSD,-0.18820939968063533,0.02536356943864615,1,-1,1,-0.04946717204928619
22,2,20,1,2019-04-20,2019-04-29,CRYPTO:ZECUSD,CRYPTO:BATUSD,-0.1833691756272401,0.1089310862650078,1,-1,1,-0.3632929924254323
23,2,21,1,2019-04-19,2019-04-29,CRYPTO:AEUSD,CRYPTO:BATUSD,-0.19646444355162718,0.02536356943864615,1,-1,1,-0.2014286608591232
24,2,22,1,2019-04-21,2019-04-29,CRYPTO:DCRUSD,CRYPTO:BATUSD,-0.10343805855421895,0.16286290264739822,1,-1,1,-0.19780864885723878
25,2,23,1,2019-04-20,2019-04-29,CRYPTO:BTMUSD,CRYPTO:BATUSD,-0.16453537936913898,0.1089310862650078,1,-1,1,0.09699939830686465
26,2,24,1,2019-04-20,2019-04-29,CRYPTO:ICXUSD,CRYPTO:BATUSD,-0.14546027421777685,0.1089310862650078,1,-1,1,-0.024643661887395904
27,2,25,1,2019-04-20,2019-04-29,CRYPTO:STEEMUSD,CRYPTO:BATUSD,-0.2592723461473927,0.1089310862650078,1,-1,1,-0.16437326594484195
28,2,26,1,2019-04-21,2019-04-29,CRYPTO:BCDUSD,CRYPTO:BATUSD,-0.1695075757575758,0.16286290264739822,1,-1,1,-0.14345588105039517
29,2,27,1,2019-04-19,2019-04-29,CRYPTO:MIOTAUSD,CRYPTO:BATUSD,-0.022985280405790287,0.02536356943864615,1,-1,1,0.007230289971531083
30,2,28,1,2019-04-21,2019-04-29,CRYPTO:LRCUSD,CRYPTO:BATUSD,-0.1559206063471461,0.16286290264739822,1,-1,1,0.24029208582538777
31,2,29,1,2019-04-21,2019-04-29,CRYPTO:ELFUSD,CRYPTO:BATUSD,-0.17585130208320776,0.16286290264739822,1,-1,1,0.12411770265952456
32,2,30,1,2019-04-21,2019-04-29,CRYPTO:LSKUSD,CRYPTO:BATUSD,-0.1692180429039677,0.16286290264739822,1,-1,1,-0.2180875180385522
33,2,31,1,2019-04-21,2019-04-29,CRYPTO:ETHUSD,CRYPTO:BATUSD,-0.06524282846198382,0.16286290264739822,1,-1,1,-0.12949849247073134
34,3,1,1,2019-06-22,2019-06-29,CRYPTO:MANAUSD,CRYPTO:BTCUSD,-0.09485158680377936,-0.11264789619681426,1,-1,1,-0.22529560780369867
35,3,2,1,2019-05-09,2019-06-29,CRYPTO:MANAUSD,CRYPTO:LINKUSD,0.05676579148965799,-4.957908254808357,1,-1,1,-9.22244098425787
36,3,3,1,2019-05-02,2019-06-29,CRYPTO:MANAUSD,CRYPTO:BNBUSD,-0.02737515468424989,-0.5275575910979047,1,-1,1,-1.0528982723618339
37,3,4,1,2019-05-01,2019-06-29,CRYPTO:SCUSD,CRYPTO:BATUSD,0.20501999272991656,0.15744502076569689,1,-1,1,0.315566358892876
38,3,5,1,2019-05-01,2019-06-29,CRYPTO:XRPUSD,CRYPTO:BATUSD,0.42238436307651117,0.15744502076569689,1,-1,1,0.5466655327363172
39,3,6,1,2019-05-02,2019-05-26,CRYPTO:USDTUSD,CRYPTO:BATUSD,0.029570714795554176,0.04793679417606256,1,-1,1,0.06925152099714929
