,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,1,1,1,2019-01-01,2019-02-03,CRYPTO:BNTUSD,CRYPTO:USDTUSD,-0.26406247173171693,0.01710761885816603,1,-1,1,-0.18716380155998089
1,1,2,1,2019-01-01,2019-02-01,CRYPTO:ADAUSD,CRYPTO:USDTUSD,-0.0879334916864607,0.01382534314700623,1,-1,1,0.019471121718377137
2,1,3,1,2019-01-01,2019-02-02,CRYPTO:BTMUSD,CRYPTO:USDTUSD,-0.019181585677749413,0.015416749552417008,1,-1,1,0.02583979328165387
3,1,4,1,2019-01-01,2019-01-30,CRYPTO:PIVXUSD,CRYPTO:USDTUSD,-0.1924055267239515,0.012035010940919189,1,-1,1,-0.1634641402673232
4,1,5,1,2019-01-01,2019-01-27,CRYPTO:BNBUSD,CRYPTO:USDTUSD,0.15980278996470454,0.011139844837875557,1,-1,1,0.27715139294717206
5,1,6,1,2019-01-01,2019-02-01,CRYPTO:BCDUSD,CRYPTO:USDTUSD,-0.20243362831858414,0.01382534314700623,1,-1,1,-0.17712370378129255
6,1,7,1,2019-01-02,2019-01-20,CRYPTO:TRXUSD,CRYPTO:USDTUSD,0.17905840598749556,0.006752730883813229,1,-1,1,0.020333060911929334
7,1,8,1,2019-01-01,2019-03-01,CRYPTO:XLMUSD,CRYPTO:USDTUSD,-0.25559128426169886,0.009946290033817529,1,-1,1,-0.03493100455807147
8,1,9,1,2019-01-01,2019-02-04,CRYPTO:ZECUSD,CRYPTO:USDTUSD,-0.1864579789043893,0.020190968768649342,1,-1,1,-0.36596560364236086
9,1,10,1,2019-01-01,2019-02-02,CRYPTO:WTCUSD,CRYPTO:USDTUSD,-0.15551522545528496,0.015416749552417008,1,-1,1,-0.14889521168020867
10,1,11,1,2019-01-01,2019-03-01,CRYPTO:MANAUSD,CRYPTO:USDTUSD,-0.08514087941712278,0.009946290033817529,1,-1,1,0.01142526585997357
11,1,12,1,2019-01-01,2019-02-02,CRYPTO:DASHUSD,CRYPTO:USDTUSD,-0.1606429224659559,0.015416749552417008,1,-1,1,-0.31690593900163794
12,1,13,1,2019-01-01,2019-02-03,CRYPTO:XMRUSD,CRYPTO:USDTUSD,-0.11655546288573815,0.01710761885816603,1,-1,1,-0.22762195346101546
13,1,14,1,2019-01-01,2019-02-01,CRYPTO:LTCUSD,CRYPTO:USDTUSD,0.022915975200180183,0.01382534314700623,1,-1,1,0.0452718849708205
14,1,15,1,2019-01-01,2019-01-20,CRYPTO:REPUSD,CRYPTO:USDTUSD,1.2163866502673994,0.005172070817585084,1,-1,1,2.1686317584743837
15,1,16,1,2019-01-01,2019-02-03,CRYPTO:OMGUSD,CRYPTO:USDTUSD,-0.22796631331166517,0.01710761885816603,1,-1,1,-0.25362202203354656
16,1,17,1,2019-01-01,2019-02-02,CRYPTO:LSKUSD,CRYPTO:USDTUSD,-0.18551253740059503,0.015416749552417008,1,-1,1,-0.19974336694965128
17,1,18,1,2019-01-01,2019-02-04,CRYPTO:DCRUSD,CRYPTO:USDTUSD,-0.1077244713685287,0.020190968768649342,1,-1,1,-0.2014507858645657
18,1,19,1,2019-01-01,2019-02-04,CRYPTO:BTCUSD,CRYPTO:USDTUSD,-0.10772450888528096,0.020190968768649342,1,-1,1,-0.21538176078175836
19,1,20,1,2019-01-06,2019-01-27,CRYPTO:XRPUSD,CRYPTO:USDTUSD,-0.16491401029685615,0.016617210682492556,1,-1,1,-0.06310312754330903
20,1,21,1,2019-01-01,2019-02-01,CRYPTO:SNTUSD,CRYPTO:USDTUSD,0.01958836617585802,0.01382534314700623,1,-1,1,0.027850112758364763
21,1,22,1,2019-01-01,2019-02-01,CRYPTO:ETHUSD,CRYPTO:USDTUSD,-0.1406323672167521,0.01382534314700623,1,-1,1,-0.27955145730040304
22,1,23,1,2019-01-01,2019-02-01,CRYPTO:QTUMUSD,CRYPTO:USDTUSD,-0.19241743144198242,0.01382534314700623,1,-1,1,-0.25751817684910844
23,1,24,1,2019-01-01,2019-02-02,CRYPTO:MIOTAUSD,CRYPTO:USDTUSD,-0.2903763986129284,0.015416749552417008,1,-1,1,-0.13160013996132247
24,1,25,1,2019-01-01,2019-02-04,CRYPTO:BCHUSD,CRYPTO:USDTUSD,-0.2828424783086887,0.020190968768649342,1,-1,1,-0.5619844849008959
25,1,26,1,2019-01-06,2019-01-25,CRYPTO:MKRUSD,CRYPTO:USDTUSD,-0.09550922179256582,0.013254203758654604,1,-1,1,-0.19059571597690977
26,1,27,1,2019-01-01,2019-02-03,CRYPTO:EOSUSD,CRYPTO:USDTUSD,-0.11205504892167151,0.01710761885816603,1,-1,1,-0.1528042493851104
27,1,28,1,2019-01-01,2019-01-30,CRYPTO:ARKUSD,CRYPTO:USDTUSD,0.026506586011010524,0.012035010940919189,1,-1,1,0.03216472519731045
28,1,29,1,2019-01-01,2019-02-04,CRYPTO:ZRXUSD,CRYPTO:USDTUSD,-0.2618255483513229,0.020190968768649342,1,-1,1,-0.0949572348477402
29,1,30,1,2019-01-01,2019-02-01,CRYPTO:ARDRUSD,CRYPTO:USDTUSD,-0.03239034121687989,0.01382534314700623,1,-1,1,0.022959473083772115
30,1,31,1,2019-01-01,2019-02-01,CRYPTO:DOGEUSD,CRYPTO:USDTUSD,-0.1961728896705064,0.01382534314700623,1,-1,1,0.026655066223696434
31,1,32,1,2019-01-01,2019-02-02,CRYPTO:ICXUSD,CRYPTO:USDTUSD,-0.2201864810489481,0.015416749552417008,1,-1,1,-0.06093597834194324
32,1,33,1,2019-01-01,2019-02-03,CRYPTO:BATUSD,CRYPTO:USDTUSD,-0.16363356785107153,0.01710761885816603,1,-1,1,-0.0074191347913096445
33,1,34,1,2019-01-01,2019-02-04,CRYPTO:KCSUSD,CRYPTO:USDTUSD,-0.43001265822784807,0.020190968768649342,1,-1,1,-0.3071552461219005
34,1,35,1,2019-01-01,2019-02-01,CRYPTO:KMDUSD,CRYPTO:USDTUSD,-0.2039488447534319,0.01382534314700623,1,-1,1,-0.1662468388751675
35,1,36,1,2019-01-01,2019-02-02,CRYPTO:STEEMUSD,CRYPTO:USDTUSD,0.027418404455121337,0.015416749552417008,1,-1,1,0.03599857708592372
36,1,37,1,2019-01-01,2019-02-03,CRYPTO:BTSUSD,CRYPTO:USDTUSD,-0.060959044446299404,0.01710761885816603,1,-1,1,0.028308223751358056
37,1,38,1,2019-01-01,2019-02-04,CRYPTO:XTZUSD,CRYPTO:USDTUSD,-0.23058156602512736,0.020190968768649342,1,-1,1,-0.12197751845211048
38,1,39,1,2019-01-01,2019-02-04,CRYPTO:AEUSD,CRYPTO:USDTUSD,-0.05877862595419847,0.020190968768649342,1,-1,1,-0.004004576659038778
39,1,40,1,2019-01-01,2019-02-02,CRYPTO:NEOUSD,CRYPTO:USDTUSD,-0.08085548464327674,0.015416749552417008,1,-1,1,-0.13971562411750837
