,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,1,1,1,2019-01-22,2019-03-01,CRYPTO:LINKUSD,CRYPTO:KMDUSD,0.1944347059815825,0.5311521994704336,-1,1,0.0839879713397632,0.4515259002603555
1,1,2,1,2019-02-23,2019-03-01,CRYPTO:XMRUSD,CRYPTO:MKRUSD,-0.1068773234200743,0.0869812483720476,1,-1,0.2764860299649154,0.0931710739061502
2,1,3,1,2019-02-23,2019-03-01,CRYPTO:BNTUSD,CRYPTO:MKRUSD,-0.1119886708405503,0.0869812483720476,1,-1,0.0064473790159864,0.1300225146306282
3,1,4,1,2019-02-23,2019-03-01,CRYPTO:MKRUSD,CRYPTO:ETHUSD,0.0869812483720476,-0.0881772063664175,-1,1,1.1636718364319778,0.0921134426361131
4,1,5,1,2019-02-23,2019-03-01,CRYPTO:MKRUSD,CRYPTO:BNTUSD,0.0869812483720476,-0.1119886708405503,-1,1,126.86957569366656,0.1372834294533897
5,1,6,1,2019-02-23,2019-03-01,CRYPTO:MKRUSD,CRYPTO:XLMUSD,0.0869812483720476,-0.0884939395625753,-1,1,2034.912172998793,0.1015022049710396
6,1,7,1,2019-01-15,2019-03-01,CRYPTO:KMDUSD,CRYPTO:LINKUSD,0.5992755943464534,0.1558941544281391,1,-1,8.711758832355445,0.4211346737814386
7,1,8,1,2019-02-20,2019-03-01,CRYPTO:XLMUSD,CRYPTO:MKRUSD,-0.0580255344495962,-0.0265089790827961,1,-1,0.0003837487179097,-0.0697880428826002
8,2,1,1,2019-04-06,2019-04-29,CRYPTO:STEEMUSD,CRYPTO:LTCUSD,-0.3460524480966037,0.2801166572181275,1,-1,0.0204413996592572,0.2958398882503953
9,2,2,1,2019-03-25,2019-04-29,CRYPTO:ETHUSD,CRYPTO:KCSUSD,0.0826557105766212,0.1647181030159753,1,-1,126.1963769600895,0.2475869133365637
10,2,3,1,2019-03-05,2019-04-29,CRYPTO:ETHUSD,CRYPTO:BNBUSD,0.0672929528738379,-0.5696221674177722,1,-1,37.428983857008674,-0.8092695699450354
11,2,4,1,2019-04-02,2019-04-29,CRYPTO:ARKUSD,CRYPTO:LTCUSD,-0.3645206887758569,0.1420692536697905,1,-1,0.0222130178920312,-0.0163009800795207
12,2,5,1,2019-03-25,2019-04-29,CRYPTO:BCHUSD,CRYPTO:KCSUSD,0.4757526136793046,0.1647181030159753,1,-1,313.947092702125,0.494878446751739
13,2,6,1,2019-03-29,2019-04-29,CRYPTO:ZRXUSD,CRYPTO:BATUSD,-0.122281045751634,-0.3007675146505499,1,-1,3.559698944494964,-0.5184265037982513
14,2,7,1,2019-04-03,2019-04-29,CRYPTO:BTGUSD,CRYPTO:LTCUSD,-0.0420731707317071,0.2230964030338466,1,-1,0.4277497442561445,0.2821647505546973
15,2,8,1,2019-03-29,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.1914232673554881,-0.3007675146505499,1,-1,0.3283112514902869,-0.5155532745247633
16,2,9,1,2019-04-02,2019-04-29,CRYPTO:QTUMUSD,CRYPTO:BNBUSD,-0.3132699092427993,-0.0712601437064495,1,-1,1.2646432775208791,-0.1986038513276015
17,2,10,1,2019-03-02,2019-04-29,CRYPTO:ENJUSD,CRYPTO:ELFUSD,-0.7448292742173344,0.0048424871071313,-1,1,0.0888565039156819,-1.278842451213184
18,2,11,1,2019-03-08,2019-04-24,CRYPTO:ENJUSD,CRYPTO:BNBUSD,0.2275455849294346,0.6261402319439286,-1,1,0.0073468774798533,0.7220278986598608
19,2,12,1,2019-03-01,2019-04-29,CRYPTO:THETAUSD,CRYPTO:XTZUSD,0.3651508885015744,1.7510474892866057,-1,1,0.0338206019442597,0.9819698853247252
20,2,13,1,2019-03-25,2019-04-29,CRYPTO:THETAUSD,CRYPTO:BNBUSD,-0.1691310489010907,-0.2804421720535612,1,-1,0.0131192070299591,-0.4878575288427481
21,2,14,1,2019-04-02,2019-04-29,CRYPTO:DASHUSD,CRYPTO:BNBUSD,-0.1476984312430002,-0.0712601437064495,1,-1,27.004024284119225,-0.171197228552346
22,2,15,1,2019-03-29,2019-04-29,CRYPTO:KCSUSD,CRYPTO:ETHUSD,0.266685534591195,0.0416998380322288,-1,1,0.0074268660071883,0.3265289116940078
23,2,16,1,2019-03-25,2019-04-29,CRYPTO:KCSUSD,CRYPTO:BCHUSD,0.1647181030159753,0.4757526136793046,-1,1,0.00294991651417,0.4857261921164885
24,2,17,1,2019-03-05,2019-04-29,CRYPTO:KCSUSD,CRYPTO:BNBUSD,1.3407881793178211,-0.5696221674177722,1,-1,0.2966850838057231,-0.7189904296364136
25,2,18,1,2019-04-06,2019-04-29,CRYPTO:LTCUSD,CRYPTO:STEEMUSD,0.2801166572181275,-0.3460524480966037,-1,1,42.37660716108276,0.3245502153302069
26,2,19,1,2019-04-03,2019-04-29,CRYPTO:LTCUSD,CRYPTO:ARKUSD,0.2230964030338466,-0.3222282345481317,-1,1,43.0249174245528,0.1682193007465972
27,2,20,1,2019-03-16,2019-04-29,CRYPTO:LTCUSD,CRYPTO:NEOUSD,-0.0912089654537289,-0.0108126306940204,-1,1,1.7436855593671945,-0.1484029935394913
28,2,21,1,2019-04-06,2019-04-29,CRYPTO:LTCUSD,CRYPTO:MIOTAUSD,0.2801166572181275,-0.1247118938690268,-1,1,74.21425766904935,0.3845558206271283
29,2,22,1,2019-04-19,2019-04-29,CRYPTO:LTCUSD,CRYPTO:BNBUSD,-0.1937005894167195,0.1276202723849105,1,-1,9.12165641923092,0.0816737435898493
30,2,23,1,2019-04-02,2019-04-29,CRYPTO:LSKUSD,CRYPTO:BNBUSD,-0.1401313496850567,-0.0712601437064495,1,-1,0.7630137227048156,-0.1579903403290953
31,2,24,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:ZRXUSD,-0.3007675146505499,-0.122281045751634,-1,1,0.2130253186390054,-0.5347556675394687
32,2,25,1,2019-03-29,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.3007675146505499,-0.1914232673554881,-1,1,2.602546494613589,-0.5236087800201182
33,2,26,1,2019-04-02,2019-04-29,CRYPTO:BATUSD,CRYPTO:BTMUSD,-0.1447691538800397,-0.2403100775193798,-1,1,0.2868911013673466,-0.3092434116904218
34,2,27,1,2019-03-16,2019-04-29,CRYPTO:NEOUSD,CRYPTO:LTCUSD,-0.0108126306940204,-0.0912089654537289,1,-1,0.5589917906093231,-0.1477108212844127
35,2,28,1,2019-04-10,2019-04-29,CRYPTO:AEUSD,CRYPTO:EOSUSD,-0.3148338472079478,0.2427533649913134,1,-1,0.2668735580819604,0.1822164942750653
36,2,29,1,2019-04-10,2019-04-29,CRYPTO:EOSUSD,CRYPTO:AEUSD,0.2427533649913134,-0.3148338472079478,-1,1,3.535396505151829,0.1948858160963106
37,2,30,1,2019-03-05,2019-04-29,CRYPTO:EOSUSD,CRYPTO:BNBUSD,0.1865580554247947,-0.5696221674177722,1,-1,1.021249737766048,-0.818314404722743
38,2,31,1,2019-04-06,2019-04-29,CRYPTO:MIOTAUSD,CRYPTO:LTCUSD,-0.1247118938690268,0.2801166572181275,1,-1,0.0113372971238178,0.359643375024312
39,2,32,1,2019-03-05,2019-04-29,CRYPTO:BNBUSD,CRYPTO:ETHUSD,-0.5696221674177722,0.0672929528738379,-1,1,0.0147297602130067,-0.9333977967008854
40,2,33,1,2019-03-05,2019-04-29,CRYPTO:BNBUSD,CRYPTO:ETCUSD,-0.5696221674177722,0.2472727272727273,-1,1,0.3845621138862207,-0.9582909219601328
41,2,34,1,2019-03-29,2019-04-29,CRYPTO:ETCUSD,CRYPTO:KCSUSD,0.1292181069958848,0.266685534591195,1,-1,4.636041142336051,0.4241281592273994
42,3,1,1,2019-05-16,2019-06-29,CRYPTO:ETHUSD,CRYPTO:NULSUSD,-0.1439466506107629,0.153411494077055,-1,1,117.12667322330898,-0.1444110238932082
43,3,2,1,2019-05-16,2019-06-29,CRYPTO:ETHUSD,CRYPTO:OMGUSD,-0.1439466506107629,0.3105063611703857,-1,1,34.932025131002,-0.0908537812456545
44,3,3,1,2019-06-26,2019-06-29,CRYPTO:ETHUSD,CRYPTO:LSKUSD,0.0395085558466228,-0.0493874468476682,-1,1,45.72201911356356,0.0401230473447976
45,3,4,1,2019-05-16,2019-06-29,CRYPTO:NULSUSD,CRYPTO:ETHUSD,0.153411494077055,-0.1439466506107629,1,-1,0.0081913606193336,-0.1398537100893467
46,3,5,1,2019-06-08,2019-06-29,CRYPTO:NULSUSD,CRYPTO:KMDUSD,0.0907956663627787,0.2198999373611894,1,-1,1.484145601989505,0.3791973700302872
47,3,6,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:ELFUSD,-0.0047939896452409,-0.0084648173633743,-1,1,0.2089368060626857,-0.0115188529220079
48,3,7,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:LSKUSD,-0.0047939896452409,-0.1024116330041345,-1,1,0.0268485902523119,-0.0732279503815251
49,3,8,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:AEUSD,-0.0047939896452409,-0.0074832611264278,-1,1,0.0712187738212362,-0.0108535633028471
50,3,9,1,2019-05-19,2019-06-28,CRYPTO:ARDRUSD,CRYPTO:EOSUSD,0.5070326937657088,0.0455030524130669,1,-1,0.0210093825248518,0.4287180549530983
51,3,10,1,2019-05-20,2019-06-29,CRYPTO:BTGUSD,CRYPTO:BTCUSD,0.3563829787234043,-0.4829364515378354,1,-1,0.0067338353089554,-0.5003753127951667
52,3,11,1,2019-06-23,2019-06-29,CRYPTO:BTGUSD,CRYPTO:BCDUSD,0.0974903474903474,-0.093233082706767,-1,1,13.884757676790496,0.0528103513003727
53,3,12,1,2019-06-24,2019-06-29,CRYPTO:ICXUSD,CRYPTO:QTUMUSD,-0.0280375950160424,-0.3351626422960849,1,-1,0.2152336274780467,-0.5008518141363737
54,3,13,1,2019-06-28,2019-06-29,CRYPTO:MANAUSD,CRYPTO:LINKUSD,-0.068738170670177,-0.1935618584701564,-1,-1,0.0472953469983206,-0.3278922695515531
55,3,14,1,2019-06-24,2019-06-29,CRYPTO:MANAUSD,CRYPTO:XMRUSD,-0.0751883115264107,0.1509145044661846,1,-1,0.0005968572976975,0.1048560270107233
56,3,15,1,2019-06-28,2019-06-29,CRYPTO:XMRUSD,CRYPTO:LINKUSD,0.0231943628890194,-0.1935618584701564,-1,-1,51.95698363683195,-0.2216235158674719
57,3,16,1,2019-06-22,2019-06-29,CRYPTO:XMRUSD,CRYPTO:ZENUSD,0.1305749128919859,-0.0206905722610811,-1,1,4.847440401535681,0.167654937202715
58,3,17,1,2019-06-28,2019-06-29,CRYPTO:QTUMUSD,CRYPTO:ZILUSD,-0.0517489393173562,0.0515510685774871,-1,1,116.74156215275482,-0.0475958008933449
59,3,18,1,2019-05-16,2019-06-28,CRYPTO:QTUMUSD,CRYPTO:EOSUSD,0.6874917794399227,0.0473334706888547,1,-1,1.2354630142238472,0.4540854513750932
60,3,19,1,2019-05-18,2019-06-29,CRYPTO:ENJUSD,CRYPTO:BNBUSD,-0.1599278750343191,-0.2273888794951,1,-1,0.0091617509773964,-0.4065414669532774
61,3,20,1,2019-06-12,2019-06-29,CRYPTO:THETAUSD,CRYPTO:LTCUSD,-0.1283755228156113,0.0200589753164429,1,-1,0.0013961831274322,-0.0846117126362583
62,3,21,1,2019-06-07,2019-06-29,CRYPTO:ELFUSD,CRYPTO:ARDRUSD,-0.0084648173633743,-0.0047939896452409,1,-1,4.698610334839314,-0.011545232271913
63,3,22,1,2019-06-26,2019-06-29,CRYPTO:LRCUSD,CRYPTO:ETHUSD,-0.0739308858382523,0.0395085558466228,1,-1,0.0013482126688265,0.0509231833247343
64,3,23,1,2019-06-23,2019-06-29,CRYPTO:ZENUSD,CRYPTO:XMRUSD,0.00502219540525,0.1289815865258748,1,-1,0.1868193287874085,0.1773153905783857
65,3,24,1,2019-05-27,2019-06-29,CRYPTO:LTCUSD,CRYPTO:THETAUSD,-0.143814396964137,-0.0517831647361447,-1,1,556.2912981435211,-0.218330953647822
66,3,25,1,2019-05-11,2019-06-29,CRYPTO:LTCUSD,CRYPTO:EOSUSD,-0.5120704913469829,0.1435509251870319,-1,1,8.292056085701704,-0.5761461427862512
