,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,1,1,1,2019-01-01,2019-02-03,CRYPTO:BNTUSD,CRYPTO:USDTUSD,-0.26406247173171693,0.01710761885816603,1,-1,1,-0.18716380155998089
1,1,2,1,2019-01-06,2019-02-01,CRYPTO:ADAUSD,CRYPTO:USDTUSD,-0.21139430284857563,0.01928783382789301,1,-1,1,0.017376763603729493
2,1,3,1,2019-01-01,2019-02-02,CRYPTO:BTMUSD,CRYPTO:USDTUSD,-0.019181585677749413,0.015416749552417008,1,-1,1,0.02583979328165387
3,1,4,1,2019-01-06,2019-01-30,CRYPTO:PIVXUSD,CRYPTO:USDTUSD,-0.2291361888301816,0.01750741839762604,1,-1,1,-0.1962610616627122
4,1,5,1,2019-01-01,2019-01-27,CRYPTO:BNBUSD,CRYPTO:USDTUSD,0.15980278996470454,0.011139844837875557,1,-1,1,0.27715139294717206
5,1,6,1,2019-01-06,2019-02-01,CRYPTO:BCDUSD,CRYPTO:USDTUSD,-0.23460721868365175,0.01928783382789301,1,-1,1,-0.2063492063492065
6,1,7,1,2019-01-01,2019-03-01,CRYPTO:XLMUSD,CRYPTO:USDTUSD,-0.25559128426169886,0.009946290033817529,1,-1,1,-0.03493100455807147
7,1,8,1,2019-01-01,2019-02-04,CRYPTO:ZECUSD,CRYPTO:USDTUSD,-0.1864579789043893,0.020190968768649342,1,-1,1,-0.36596560364236086
8,1,9,1,2019-01-01,2019-02-02,CRYPTO:WTCUSD,CRYPTO:USDTUSD,-0.15551522545528496,0.015416749552417008,1,-1,1,-0.14889521168020867
9,1,10,1,2019-01-01,2019-03-01,CRYPTO:MANAUSD,CRYPTO:USDTUSD,-0.08514087941712278,0.009946290033817529,1,-1,1,0.01142526585997357
10,1,11,1,2019-01-01,2019-02-02,CRYPTO:DASHUSD,CRYPTO:USDTUSD,-0.1606429224659559,0.015416749552417008,1,-1,1,-0.31690593900163794
11,1,12,1,2019-01-01,2019-02-03,CRYPTO:XMRUSD,CRYPTO:USDTUSD,-0.11655546288573815,0.01710761885816603,1,-1,1,-0.22762195346101546
12,1,13,1,2019-01-01,2019-02-01,CRYPTO:LTCUSD,CRYPTO:USDTUSD,0.022915975200180183,0.01382534314700623,1,-1,1,0.0452718849708205
13,1,14,1,2019-01-01,2019-01-20,CRYPTO:REPUSD,CRYPTO:USDTUSD,1.2163866502673994,0.005172070817585084,1,-1,1,2.1686317584743837
14,1,15,1,2019-01-01,2019-02-03,CRYPTO:OMGUSD,CRYPTO:USDTUSD,-0.22796631331166517,0.01710761885816603,1,-1,1,-0.25362202203354656
15,1,16,1,2019-01-01,2019-02-02,CRYPTO:LSKUSD,CRYPTO:USDTUSD,-0.18551253740059503,0.015416749552417008,1,-1,1,-0.19974336694965128
16,1,17,1,2019-01-01,2019-02-04,CRYPTO:DCRUSD,CRYPTO:USDTUSD,-0.1077244713685287,0.020190968768649342,1,-1,1,-0.2014507858645657
17,1,18,1,2019-01-01,2019-02-04,CRYPTO:BTCUSD,CRYPTO:USDTUSD,-0.10772450888528096,0.020190968768649342,1,-1,1,-0.21538176078175836
18,1,19,1,2019-01-02,2019-02-01,CRYPTO:SNTUSD,CRYPTO:USDTUSD,-0.010284099721845408,0.015392254220456647,1,-1,1,0.029871078857697436
19,1,20,1,2019-01-06,2019-02-01,CRYPTO:ETHUSD,CRYPTO:USDTUSD,-0.19472671985861678,0.01928783382789301,1,-1,1,-0.3872158679600403
20,1,21,1,2019-01-06,2019-02-01,CRYPTO:QTUMUSD,CRYPTO:USDTUSD,-0.21866664119824886,0.01928783382789301,1,-1,1,-0.29321730993489525
21,1,22,1,2019-01-06,2019-02-02,CRYPTO:MIOTAUSD,CRYPTO:USDTUSD,-0.31225086063153795,0.02087042532146377,1,-1,1,-0.13857639249874887
22,1,23,1,2019-01-01,2019-02-04,CRYPTO:BCHUSD,CRYPTO:USDTUSD,-0.2828424783086887,0.020190968768649342,1,-1,1,-0.5619844849008959
23,1,24,1,2019-01-01,2019-02-03,CRYPTO:EOSUSD,CRYPTO:USDTUSD,-0.11205504892167151,0.01710761885816603,1,-1,1,-0.1528042493851104
24,1,25,1,2019-01-06,2019-01-30,CRYPTO:ARKUSD,CRYPTO:USDTUSD,-0.14294094044080252,0.01750741839762604,1,-1,1,-0.06645800561662878
25,1,26,1,2019-01-01,2019-02-04,CRYPTO:ZRXUSD,CRYPTO:USDTUSD,-0.2618255483513229,0.020190968768649342,1,-1,1,-0.0949572348477402
26,1,27,1,2019-01-02,2019-02-01,CRYPTO:ARDRUSD,CRYPTO:USDTUSD,-0.044490663357128035,0.015392254220456647,1,-1,1,0.024642225683966384
27,1,28,1,2019-01-06,2019-02-01,CRYPTO:DOGEUSD,CRYPTO:USDTUSD,-0.1796859475751108,0.01928783382789301,1,-1,1,0.03765633992614439
28,1,29,1,2019-01-01,2019-02-02,CRYPTO:ICXUSD,CRYPTO:USDTUSD,-0.2201864810489481,0.015416749552417008,1,-1,1,-0.06093597834194324
29,1,30,1,2019-01-01,2019-02-03,CRYPTO:BATUSD,CRYPTO:USDTUSD,-0.16363356785107153,0.01710761885816603,1,-1,1,-0.0074191347913096445
30,1,31,1,2019-01-02,2019-02-04,CRYPTO:KCSUSD,CRYPTO:USDTUSD,-0.4415007751937985,0.02174776564051628,1,-1,1,-0.3182421307506055
31,1,32,1,2019-01-06,2019-02-01,CRYPTO:KMDUSD,CRYPTO:USDTUSD,-0.1740096321025979,0.01928783382789301,1,-1,1,-0.12948305590079945
32,1,33,1,2019-01-01,2019-02-02,CRYPTO:STEEMUSD,CRYPTO:USDTUSD,0.027418404455121337,0.015416749552417008,1,-1,1,0.03599857708592372
33,1,34,1,2019-01-01,2019-02-03,CRYPTO:BTSUSD,CRYPTO:USDTUSD,-0.060959044446299404,0.01710761885816603,1,-1,1,0.028308223751358056
34,1,35,1,2019-01-01,2019-02-04,CRYPTO:XTZUSD,CRYPTO:USDTUSD,-0.23058156602512736,0.020190968768649342,1,-1,1,-0.12197751845211048
35,1,36,1,2019-01-01,2019-02-04,CRYPTO:AEUSD,CRYPTO:USDTUSD,-0.05877862595419847,0.020190968768649342,1,-1,1,-0.004004576659038778
36,1,37,1,2019-01-01,2019-02-02,CRYPTO:NEOUSD,CRYPTO:USDTUSD,-0.08085548464327674,0.015416749552417008,1,-1,1,-0.13971562411750837
37,1,38,1,2019-01-01,2019-02-04,CRYPTO:ETCUSD,CRYPTO:USDTUSD,-0.2704761904761904,0.020190968768649342,1,-1,1,-0.4475173450139079
38,1,39,1,2019-01-15,2019-03-01,CRYPTO:BNTUSD,CRYPTO:LINKUSD,-0.052875313896092235,0.15589415442813914,1,-1,1,0.09534441567649551
39,2,1,1,2019-04-25,2019-04-29,CRYPTO:USDTUSD,CRYPTO:BNBUSD,0.0025484199796126372,0.035245751157413796,1,-1,1,0.06771240479454155
40,2,2,1,2019-04-26,2019-04-29,CRYPTO:USDTUSD,CRYPTO:LTCUSD,0.013081994231561644,0.07129674247407447,1,-1,1,0.14103655205078441
41,2,3,1,2019-04-26,2019-04-29,CRYPTO:USDTUSD,CRYPTO:REPUSD,0.013081994231561644,0.06500691562932226,1,-1,1,0.12556485207936174
42,2,4,1,2019-03-08,2019-04-02,CRYPTO:USDTUSD,CRYPTO:ENJUSD,0.014193678276625876,0.2458639197654715,1,-1,1,0.10840116088980861
43,2,4,2,2019-04-25,2019-04-29,CRYPTO:USDTUSD,CRYPTO:ENJUSD,0.0025484199796126372,0.03963865797739996,1,-1,1,0.014987878189760474
44,2,5,1,2019-04-26,2019-04-29,CRYPTO:USDTUSD,CRYPTO:THETAUSD,0.013081994231561644,0.12244410187357468,1,-1,1,0.04677147360723407
45,2,6,1,2019-04-28,2019-04-29,CRYPTO:USDTUSD,CRYPTO:MKRUSD,0.013708513708513781,0.0012341947857836821,1,-1,1,0.002512458765762001
46,2,7,1,2019-04-25,2019-04-29,CRYPTO:USDTUSD,CRYPTO:BATUSD,0.0025484199796126372,0.0404395596199526,1,-1,1,0.02641560985745565
47,2,8,1,2019-04-26,2019-04-29,CRYPTO:USDTUSD,CRYPTO:KCSUSD,0.013081994231561644,-0.009401702002406642,1,-1,1,0.0017310234205588897
48,2,9,1,2019-04-26,2019-04-29,CRYPTO:USDTUSD,CRYPTO:LINKUSD,0.013081994231561644,0.007999553969874285,1,-1,1,0.023011746275402947
49,2,10,1,2019-04-26,2019-04-29,CRYPTO:USDTUSD,CRYPTO:XTZUSD,0.013081994231561644,0.005561266276523202,1,-1,1,0.018039735446305542
50,2,11,1,2019-04-19,2019-04-29,CRYPTO:ADAUSD,CRYPTO:BNBUSD,-0.19546234605289725,0.12762027238491058,1,-1,1,0.2531523669284759
51,2,12,1,2019-03-08,2019-04-29,CRYPTO:ADAUSD,CRYPTO:ENJUSD,0.5081013316933556,0.3009859570675537,1,-1,1,0.6721241726096746
52,3,1,1,2019-05-24,2019-06-29,CRYPTO:ZENUSD,CRYPTO:BNBUSD,-0.07791339938440534,-0.034103608421291565,1,-1,1,-0.08987516727345753
53,3,2,1,2019-06-26,2019-06-29,CRYPTO:ZENUSD,CRYPTO:BTCUSD,0.13639269704703905,0.0820443430572606,1,-1,1,0.1641653718502673
54,3,3,1,2019-05-16,2019-06-29,CRYPTO:ZENUSD,CRYPTO:LINKUSD,-0.19241581344229886,-3.125682841851596,1,-1,1,-0.7774723542098663
55,3,4,1,2019-05-01,2019-05-11,CRYPTO:USDTUSD,CRYPTO:BNBUSD,0.017638114546375983,0.020414190453125203,1,-1,1,0.040586275763103495
56,3,4,2,2019-06-23,2019-06-29,CRYPTO:USDTUSD,CRYPTO:BNBUSD,0.004535375932271712,0.04291448350840288,1,-1,1,0.08382419425350204
57,3,5,1,2019-05-02,2019-05-11,CRYPTO:USDTUSD,CRYPTO:ENJUSD,0.02365657183644343,0.011028415959482674,1,-1,1,0.04399234988241007
58,3,6,1,2019-06-26,2019-06-29,CRYPTO:USDTUSD,CRYPTO:BTCUSD,0.006767676767676756,0.0820443430572606,1,-1,1,0.1640771592949937
59,3,7,1,2019-05-02,2019-05-09,CRYPTO:USDTUSD,CRYPTO:BATUSD,0.014173549505455352,0.2505813308094873,1,-1,1,0.15848397953750076
60,3,8,1,2019-05-22,2019-06-29,CRYPTO:USDTUSD,CRYPTO:LINKUSD,-0.0035989203239027434,-2.046540616110788,1,-1,1,-2.274985788251416
61,4,1,1,2019-07-16,2019-08-29,CRYPTO:ZILUSD,CRYPTO:USDTUSD,-0.29299758029867373,0.0010997800439911387,1,-1,1,-0.0035065620513588655
62,4,2,1,2019-07-01,2019-08-29,CRYPTO:USDTUSD,CRYPTO:LINKUSD,0.002307383627608406,0.5094491399354263,1,-1,1,0.8003786667127752
63,4,3,1,2019-07-17,2019-08-29,CRYPTO:WAVESUSD,CRYPTO:USDTUSD,-0.2058372305761451,0.0037890118655896643,1,-1,1,-0.23724130419193232
64,4,4,1,2019-08-07,2019-08-29,CRYPTO:ADAUSD,CRYPTO:BTCUSD,-0.14128115930887364,0.20726547001231987,1,-1,1,0.4145279100400559
65,4,5,1,2019-07-01,2019-08-29,CRYPTO:ADAUSD,CRYPTO:LINKUSD,-0.4623992299362292,0.5094491399354263,1,-1,1,0.9753923303358137
66,5,1,1,2019-09-24,2019-10-27,CRYPTO:BTMUSD,CRYPTO:USDTUSD,1.772972972972973,0.0002991623454327019,1,-1,1,0.18652555986015304
67,5,2,1,2019-09-01,2019-10-30,CRYPTO:BTGUSD,CRYPTO:USDTUSD,,0.0012968874700717281,1,-1,1,-0.07699701349078318
68,5,3,1,2019-09-24,2019-10-30,CRYPTO:BCDUSD,CRYPTO:USDTUSD,0.21875,0.00169525329078557,1,-1,1,0.13067380885255123
69,5,4,1,2019-09-06,2019-10-28,CRYPTO:TRXUSD,CRYPTO:USDTUSD,0.4607126302410298,-0.0008991907283446565,1,-1,1,0.011131545429579883
70,5,5,1,2019-09-24,2019-10-30,CRYPTO:XLMUSD,CRYPTO:USDTUSD,0.18191723144540273,0.00169525329078557,1,-1,1,0.021857210031495912
71,5,6,1,2019-09-24,2019-10-30,CRYPTO:ZECUSD,CRYPTO:USDTUSD,0.0746185852981971,0.00169525329078557,1,-1,1,0.1452899645910703
72,5,7,1,2019-09-24,2019-10-30,CRYPTO:OMGUSD,CRYPTO:USDTUSD,0.2199069620593559,0.00169525329078557,1,-1,1,0.1982861852695547
73,5,8,1,2019-09-24,2019-10-30,CRYPTO:LSKUSD,CRYPTO:USDTUSD,-0.07636648192646256,0.00169525329078557,1,-1,1,-0.0684781281017086
74,5,9,1,2019-10-24,2019-10-30,CRYPTO:DCRUSD,CRYPTO:USDTUSD,0.2222520892743849,0.0002995805871779389,1,-1,1,0.4125222430282274
75,5,10,1,2019-09-01,2019-10-30,CRYPTO:XVGUSD,CRYPTO:USDTUSD,-0.14425978471377743,0.0012968874700717281,1,-1,1,0.0013098399091174048
76,5,11,1,2019-09-24,2019-10-30,CRYPTO:XRPUSD,CRYPTO:USDTUSD,0.262572223411085,0.00169525329078557,1,-1,1,0.10198552307007935
77,5,12,1,2019-09-24,2019-10-30,CRYPTO:SNTUSD,CRYPTO:USDTUSD,0.05852186179955221,0.00169525329078557,1,-1,1,0.004747971181069119
78,5,13,1,2019-09-24,2019-10-30,CRYPTO:QTUMUSD,CRYPTO:USDTUSD,0.4051237313794398,0.00169525329078557,1,-1,1,0.49480505410480236
79,5,14,1,2019-09-01,2019-10-30,CRYPTO:ZILUSD,CRYPTO:USDTUSD,-0.21807764472167857,0.0012968874700717281,1,-1,1,-0.0004630997923482008
80,5,15,1,2019-09-24,2019-10-30,CRYPTO:KMDUSD,CRYPTO:USDTUSD,-0.03886395629336914,0.00169525329078557,1,-1,1,-0.02601602008262864
81,5,16,1,2019-09-01,2019-10-30,CRYPTO:WAVESUSD,CRYPTO:USDTUSD,-0.2989378567898181,0.0012968874700717281,1,-1,1,-0.3138061271400883
82,5,17,1,2019-09-01,2019-10-30,CRYPTO:STEEMUSD,CRYPTO:USDTUSD,-0.15771873957916116,0.0012968874700717281,1,-1,1,-0.04283143687313131
83,5,18,1,2019-09-24,2019-10-30,CRYPTO:BTSUSD,CRYPTO:USDTUSD,0.13227253464254018,0.00169525329078557,1,-1,1,0.009745901149683926
84,5,19,1,2019-09-24,2019-10-30,CRYPTO:SCUSD,CRYPTO:USDTUSD,0.3095377451327206,0.00169525329078557,1,-1,1,0.004343604600991366
85,5,20,1,2019-09-24,2019-10-30,CRYPTO:IOSTUSD,CRYPTO:USDTUSD,0.4315256744825733,0.00169525329078557,1,-1,1,0.007324248563268067
86,5,21,1,2019-09-01,2019-10-30,CRYPTO:AEUSD,CRYPTO:USDTUSD,0.0447470817120621,0.0012968874700717281,1,-1,1,0.017384105960264642
87,5,22,1,2019-09-24,2019-10-30,CRYPTO:ADAUSD,CRYPTO:LINKUSD,0.11101046966992567,-0.5117737344518369,1,-1,1,-0.9970729945069103
88,6,1,1,2019-11-22,2019-12-30,CRYPTO:BTGUSD,CRYPTO:USDTUSD,,0.0044950554390171815,1,-1,1,-0.2555038187070477
89,6,2,1,2019-11-22,2019-12-30,CRYPTO:BCDUSD,CRYPTO:USDTUSD,-0.1808785529715763,0.0044950554390171815,1,-1,1,-0.0943736042071896
90,6,3,1,2019-11-22,2019-12-30,CRYPTO:ZECUSD,CRYPTO:USDTUSD,-0.03261242705114997,0.0044950554390171815,1,-1,1,-0.06275907617046833
91,6,4,1,2019-11-25,2019-12-30,CRYPTO:DASHUSD,CRYPTO:USDTUSD,-0.16280322374720713,0.004395604395604269,1,-1,1,-0.3190596334761095
92,6,5,1,2019-11-24,2019-12-30,CRYPTO:LSKUSD,CRYPTO:USDTUSD,-0.11951822144414459,0.004196642685851182,1,-1,1,-0.0887250073021283
93,6,6,1,2019-11-24,2019-12-30,CRYPTO:XRPUSD,CRYPTO:USDTUSD,-0.12795650203896702,0.004196642685851182,1,-1,1,-0.03936144085141244
94,6,7,1,2019-12-17,2019-12-30,CRYPTO:ETHUSD,CRYPTO:USDTUSD,0.07595845989656014,0.002302532786064626,1,-1,1,0.1507187182687899
95,6,8,1,2019-12-16,2019-12-30,CRYPTO:MIOTAUSD,CRYPTO:USDTUSD,-0.08200997563891521,0.001702894921366216,1,-1,1,-0.02132457846413538
96,6,9,1,2019-11-24,2019-12-30,CRYPTO:ICXUSD,CRYPTO:USDTUSD,-0.07975358656036491,0.004196642685851182,1,-1,1,-0.010227271220119459
97,6,10,1,2019-11-22,2019-12-28,CRYPTO:WAVESUSD,CRYPTO:USDTUSD,0.6453614050718208,0.0031964838677456253,1,-1,1,0.5028877437069545
98,6,11,1,2019-11-22,2019-12-30,CRYPTO:BTSUSD,CRYPTO:USDTUSD,-0.2993921103479942,0.0044950554390171815,1,-1,1,-0.003443826880483451
99,6,12,1,2019-11-23,2019-12-30,CRYPTO:TUSDUSD,CRYPTO:USDTUSD,0.01748741695862366,0.004594486616060767,1,-1,1,0.0216602301944719
100,6,13,1,2019-12-06,2019-12-30,CRYPTO:SCUSD,CRYPTO:USDTUSD,-0.05352112676056342,0.004793289394847244,1,-1,1,0.009421431562992414
101,6,14,1,2019-11-01,2019-12-30,CRYPTO:ADAUSD,CRYPTO:SNXUSD,-0.2102844690779032,-0.6508604353418144,1,-1,1,-1.2545234337976694
102,6,15,1,2019-12-12,2019-12-30,CRYPTO:ADAUSD,CRYPTO:XTZUSD,-0.08724813841436696,0.2521606507371631,1,-1,1,0.49059788756871153
103,6,16,1,2019-11-02,2019-12-17,CRYPTO:BCDUSD,CRYPTO:BTMUSD,-0.35316698656429946,0.5304347826086957,1,-1,1,-0.336267071320182
104,6,17,1,2019-11-02,2019-12-09,CRYPTO:ZECUSD,CRYPTO:BTMUSD,-0.17695582756785522,0.43768115942028984,1,-1,1,-0.3494140728564611
105,7,1,1,2020-01-01,2020-02-09,CRYPTO:BCDUSD,CRYPTO:ZENUSD,2.0638977635782747,-0.4173418809491609,1,-1,1,-0.6538043255293677
106,7,2,1,2020-01-01,2020-02-29,CRYPTO:TRXUSD,CRYPTO:ZENUSD,0.27341027429700704,-0.22106102032343777,1,-1,1,-0.4405448492701139
107,7,3,1,2020-01-01,2020-02-29,CRYPTO:XLMUSD,CRYPTO:ZENUSD,0.2617870680291712,-0.22106102032343777,1,-1,1,-0.43688540434112133
108,7,4,1,2020-01-01,2020-01-31,CRYPTO:ZECUSD,CRYPTO:ZENUSD,1.3676680972818311,-0.34026400282157465,1,-1,1,1.9553089850645682
109,7,5,1,2020-01-01,2020-01-15,CRYPTO:DASHUSD,CRYPTO:ZENUSD,2.1812920044964246,-0.2223944277984813,1,-1,1,3.5683904199098766
110,7,6,1,2020-01-01,2020-02-29,CRYPTO:OMGUSD,CRYPTO:ZENUSD,0.38005642843203,-0.22106102032343777,1,-1,1,-0.3587536612038569
111,7,7,1,2020-01-01,2020-02-05,CRYPTO:LSKUSD,CRYPTO:ZENUSD,1.5036753195630852,-0.2467488531793398,1,-1,1,-0.2751572692819678
112,7,8,1,2020-01-13,2020-02-29,CRYPTO:DCRUSD,CRYPTO:ZENUSD,0.06459688752794035,-0.015830246125983827,1,-1,1,0.06788026595220009
113,7,9,1,2020-01-03,2020-02-29,CRYPTO:XVGUSD,CRYPTO:ZENUSD,0.15227230454460905,-0.24243471099467162,1,-1,1,-0.4845563978192656
114,7,10,1,2020-01-01,2020-02-29,CRYPTO:XRPUSD,CRYPTO:ZENUSD,0.18935064935064916,-0.22106102032343777,1,-1,1,-0.4234597926766404
115,7,11,1,2020-01-01,2020-02-06,CRYPTO:ETHUSD,CRYPTO:ZENUSD,0.6354790419161678,-0.312288871217723,1,-1,1,1.1577432779582721
116,7,12,1,2020-01-13,2020-02-29,CRYPTO:QTUMUSD,CRYPTO:ZENUSD,0.1896093992078247,-0.015830246125983827,1,-1,1,0.028408910703841196
