,Period No.,Pair No.,Round Trip No.,Start Date,End Date,crypto 1,crypto 2,crypto 1 return,crypto 2 return,crypto 1 Long/Short,crypto 2 Long/Short,Quantity,Total Return
0,2,1,1,2019-03-31,2019-04-29,CRYPTO:MANAUSD,CRYPTO:BATUSD,-0.13251165034143997,-0.2771121096963409,1,-1,0.3283112514902869,-0.4465766047243364
1,2,2,1,2019-03-31,2019-04-29,CRYPTO:BATUSD,CRYPTO:MANAUSD,-0.2771121096963409,-0.13251165034143997,-1,1,2.602546494613589,-0.45697643353455336
2,2,3,1,2019-04-02,2019-04-29,CRYPTO:LTCUSD,CRYPTO:WTCUSD,0.1420692536697905,-0.028971818118923687,-1,1,9.000009018104542,0.21955697552925074
3,2,4,1,2019-03-01,2019-04-29,CRYPTO:ENJUSD,CRYPTO:KMDUSD,-0.8757843883293897,-0.08885423636436895,-1,1,0.0383135912142791,-1.2264459798509397
4,2,5,1,2019-03-01,2019-04-29,CRYPTO:KMDUSD,CRYPTO:ENJUSD,-0.08885423636436895,-0.8757843883293897,1,-1,24.77583276789081,-1.208066712093806
5,3,1,1,2019-06-07,2019-06-29,CRYPTO:ELFUSD,CRYPTO:ARDRUSD,-0.008464817363374344,-0.004793989645240915,1,-1,4.698610334839314,-0.011545232271913074
6,3,2,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:ELFUSD,-0.004793989645240915,-0.008464817363374344,-1,1,0.2089368060626857,-0.011518852922007935
7,3,3,1,2019-06-08,2019-06-29,CRYPTO:KMDUSD,CRYPTO:LOOMUSD,0.2198999373611894,-0.22724416602505937,-1,1,5.479431009533183,0.25089161378904334
8,3,4,1,2019-06-07,2019-06-29,CRYPTO:ARDRUSD,CRYPTO:STEEMUSD,-0.004793989645240915,0.01433135810031505,-1,1,0.0949535206174659,-0.0007042671728475345
9,3,5,1,2019-05-31,2019-06-29,CRYPTO:EOSUSD,CRYPTO:LOOMUSD,0.2618024398555687,-0.16119835359869972,-1,1,27.01210754233537,0.35665410742510967
10,3,6,1,2019-06-07,2019-06-29,CRYPTO:STEEMUSD,CRYPTO:ARDRUSD,0.01433135810031505,-0.004793989645240915,1,-1,10.329814722202771,-0.0005717221366666259
11,4,1,1,2019-08-08,2019-08-29,CRYPTO:XTZUSD,CRYPTO:DASHUSD,0.36999746707193515,-0.24095322153574572,-1,1,0.0097504890324827,0.2583786749922669
12,4,2,1,2019-08-08,2019-08-29,CRYPTO:DASHUSD,CRYPTO:XTZUSD,-0.24095322153574572,0.36999746707193515,1,-1,87.15642367098783,0.21017138479851288
13,4,3,1,2019-08-08,2019-08-29,CRYPTO:XTZUSD,CRYPTO:ADAUSD,0.36999746707193515,-0.14227025781804925,-1,1,14.807574935615586,0.40378873138290466
14,4,4,1,2019-07-09,2019-08-29,CRYPTO:XVGUSD,CRYPTO:DCRUSD,-0.3653010981715582,0.32661826025725726,1,-1,0.0003576373289157,0.13252795450874094
15,4,5,1,2019-07-09,2019-08-29,CRYPTO:DCRUSD,CRYPTO:XVGUSD,0.32661826025725726,-0.3653010981715582,-1,1,2653.7021632737565,0.14939441705176265
16,4,6,1,2019-07-02,2019-08-29,CRYPTO:OMGUSD,CRYPTO:NEOUSD,-0.5530145527791789,0.5114359033586275,1,-1,0.2171438158290571,0.2141181770160052
17,4,7,1,2019-08-08,2019-08-29,CRYPTO:ADAUSD,CRYPTO:XTZUSD,-0.14227025781804925,0.36999746707193515,1,-1,0.0537994549812006,0.3505848791744652
18,4,8,1,2019-07-02,2019-08-29,CRYPTO:NEOUSD,CRYPTO:OMGUSD,0.5114359033586275,-0.5530145527791789,-1,1,4.475179148500979,0.22843581743759012
19,4,9,1,2019-07-15,2019-08-29,CRYPTO:TUSDUSD,CRYPTO:EOSUSD,0.004506372950996207,-0.25647016746137674,1,1,0.0233090510671371,-0.03872601555819218
20,4,10,1,2019-08-07,2019-08-29,CRYPTO:TUSDUSD,CRYPTO:KMDUSD,-0.00305390888317314,-0.21386243542079353,1,1,0.1303618964656163,-0.048650840561392725
21,4,11,1,2019-08-07,2019-08-29,CRYPTO:KMDUSD,CRYPTO:TUSDUSD,-0.21386243542079353,-0.00305390888317314,1,1,6.118756916795393,-0.058111921942726165
22,4,12,1,2019-07-15,2019-08-29,CRYPTO:EOSUSD,CRYPTO:TUSDUSD,-0.25647016746137674,0.004506372950996207,1,1,36.66335160781882,-0.045992951192404485
23,5,1,1,2019-10-27,2019-10-30,CRYPTO:BCDUSD,CRYPTO:BTMUSD,-0.050561797752809,0.27030539311241075,1,-1,8.40758066859714,0.35313818875967873
24,5,2,1,2019-10-27,2019-10-30,CRYPTO:BTMUSD,CRYPTO:BCDUSD,0.27030539311241075,-0.050561797752809,-1,1,0.0898220684749335,0.38812877067784257
25,6,1,1,2019-11-02,2019-11-27,CRYPTO:BTMUSD,CRYPTO:ARDRUSD,0.4623188405797102,-0.06613270454702969,-1,1,1.7333989312657294,0.4889465287016862
26,6,2,1,2019-11-01,2019-12-30,CRYPTO:BTMUSD,CRYPTO:ZECUSD,0.4185840707964602,-0.25763962065331936,-1,1,0.0015086996154618,0.38227371098060836
27,6,3,1,2019-12-08,2019-12-30,CRYPTO:LSKUSD,CRYPTO:XVGUSD,-0.16100343861739486,0.34384628655062976,1,-1,190.19780693956085,0.2855701342501787
28,6,4,1,2019-11-03,2019-12-30,CRYPTO:QTUMUSD,CRYPTO:NEOUSD,-0.24177780489801237,0.19261652692542297,1,-1,0.2582127119222497,0.012978787269491705
29,6,5,1,2019-11-03,2019-12-30,CRYPTO:NEOUSD,CRYPTO:QTUMUSD,0.19261652692542297,-0.24177780489801237,-1,1,3.575270477099203,0.029878645709682572
30,6,6,1,2019-11-02,2019-12-12,CRYPTO:BTMUSD,CRYPTO:QTUMUSD,0.4579710144927537,-0.16710705758873956,-1,1,0.0410784723989825,0.42389438847136224
31,6,7,1,2019-11-02,2019-12-30,CRYPTO:BTMUSD,CRYPTO:DASHUSD,0.523913043478261,-0.41765073197807534,-1,1,0.0009832751282004,0.40893844690805037
32,6,8,1,2019-11-01,2019-12-30,CRYPTO:OMGUSD,CRYPTO:BTMUSD,-0.3628065361239762,0.4185840707964602,1,-1,14.451948462422704,0.2503599596668151
33,6,9,1,2019-11-13,2019-12-30,CRYPTO:ARDRUSD,CRYPTO:NEOUSD,-0.30242883574919577,0.3216322222703004,1,-1,0.0058587080629501,0.12087260909348219
34,6,10,1,2019-11-13,2019-12-30,CRYPTO:NEOUSD,CRYPTO:ARDRUSD,0.3216322222703004,-0.30242883574919577,-1,1,139.35572367586204,0.18126722898305284
35,7,1,1,2020-01-28,2020-02-13,CRYPTO:XRPUSD,CRYPTO:MIOTAUSD,0.36962702793109226,-0.12358678507324417,1,-1,0.8314025743010107,0.24658339387940906
36,7,2,1,2020-01-15,2020-02-29,CRYPTO:OMGUSD,CRYPTO:BCDUSD,0.06608877267112434,0.1967654986522911,1,-1,1.825513483866266,0.2966330760126205
37,7,3,1,2020-01-28,2020-02-14,CRYPTO:MIOTAUSD,CRYPTO:XRPUSD,-0.13045234745935175,0.4080949991637397,-1,1,1.1263787679950097,0.26056813145143576
38,7,4,1,2020-01-15,2020-02-29,CRYPTO:BCDUSD,CRYPTO:OMGUSD,0.1967654986522911,0.06608877267112434,-1,1,0.5035151718930887,0.30171350705590133
39,7,5,1,2020-01-15,2020-01-30,CRYPTO:BCDUSD,CRYPTO:LSKUSD,0.14150943396226412,0.5862062517991182,-1,1,0.5517663347042664,0.5830437466736623
40,7,5,2,2020-02-16,2020-02-29,CRYPTO:BCDUSD,CRYPTO:LSKUSD,-0.23882503192848026,0.31801473992360874,1,-1,0.5517663347042664,0.15632207310867052
