,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-01-20,CRYPTO:BNTUSD,Long,0.55284379,Open,CRYPTO:REPUSD,1,1,1,1.0
1,2019-01-20,CRYPTO:REPUSD,Short,18.20778081,Open,CRYPTO:BNTUSD,1,1,1,0.09305730134613842
2,2019-03-01,CRYPTO:BNTUSD,Short,0.52533412,Close,CRYPTO:REPUSD,1,1,1,1.0
3,2019-03-01,CRYPTO:REPUSD,Long,12.78988907,Close,CRYPTO:BNTUSD,1,1,1,0.09305730134613842
4,2019-04-06,CRYPTO:STEEMUSD,Long,0.50549823,Open,CRYPTO:LTCUSD,2,1,1,1.0
5,2019-04-06,CRYPTO:LTCUSD,Short,92.404055,Open,CRYPTO:STEEMUSD,2,1,1,0.020441399659257245
6,2019-04-29,CRYPTO:STEEMUSD,Short,0.33056933,Close,CRYPTO:LTCUSD,2,1,1,1.0
7,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:STEEMUSD,2,1,1,0.020441399659257245
8,2019-04-03,CRYPTO:STEEMUSD,Long,0.46922124,Open,CRYPTO:ADAUSD,2,2,1,1.0
9,2019-04-03,CRYPTO:ADAUSD,Short,0.091052,Open,CRYPTO:STEEMUSD,2,2,1,11.825892586167614
10,2019-04-29,CRYPTO:STEEMUSD,Short,0.33056933,Close,CRYPTO:ADAUSD,2,2,1,1.0
11,2019-04-29,CRYPTO:ADAUSD,Long,0.063758,Close,CRYPTO:STEEMUSD,2,2,1,11.825892586167614
12,2019-03-25,CRYPTO:ETHUSD,Long,175.245,Open,CRYPTO:KCSUSD,2,3,1,1.0
13,2019-03-25,CRYPTO:KCSUSD,Short,1.3959,Open,CRYPTO:ETHUSD,2,3,1,126.1963769600895
14,2019-04-29,CRYPTO:ETHUSD,Short,189.73,Close,CRYPTO:KCSUSD,2,3,1,1.0
15,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:ETHUSD,2,3,1,126.1963769600895
16,2019-03-30,CRYPTO:POWRUSD,Long,0.117688053125,Open,CRYPTO:KCSUSD,2,4,1,1.0
17,2019-03-30,CRYPTO:KCSUSD,Short,1.7177,Open,CRYPTO:POWRUSD,2,4,1,0.11101529127408548
18,2019-04-29,CRYPTO:POWRUSD,Short,0.10550413695,Close,CRYPTO:KCSUSD,2,4,1,1.0
19,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:POWRUSD,2,4,1,0.11101529127408548
20,2019-04-05,CRYPTO:POWRUSD,Long,0.13214545695,Open,CRYPTO:LTCUSD,2,5,1,1.0
21,2019-04-05,CRYPTO:LTCUSD,Short,88.798198,Open,CRYPTO:POWRUSD,2,5,1,0.002833921733599674
22,2019-04-29,CRYPTO:POWRUSD,Short,0.10550413695,Close,CRYPTO:LTCUSD,2,5,1,1.0
23,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:POWRUSD,2,5,1,0.002833921733599674
24,2019-04-02,CRYPTO:ARKUSD,Long,0.72599583,Open,CRYPTO:LTCUSD,2,6,1,1.0
25,2019-04-02,CRYPTO:LTCUSD,Short,77.535559,Open,CRYPTO:ARKUSD,2,6,1,0.022213017892031256
26,2019-04-29,CRYPTO:ARKUSD,Short,0.46135533,Close,CRYPTO:LTCUSD,2,6,1,1.0
27,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:ARKUSD,2,6,1,0.022213017892031256
28,2019-03-25,CRYPTO:BCHUSD,Long,158.78,Open,CRYPTO:KCSUSD,2,7,1,1.0
29,2019-03-25,CRYPTO:KCSUSD,Short,1.3959,Open,CRYPTO:BCHUSD,2,7,1,313.947092702125
30,2019-04-29,CRYPTO:BCHUSD,Short,234.32,Close,CRYPTO:KCSUSD,2,7,1,1.0
31,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:BCHUSD,2,7,1,313.947092702125
32,2019-03-29,CRYPTO:ZRXUSD,Long,0.306,Open,CRYPTO:BATUSD,2,8,1,1.0
33,2019-03-29,CRYPTO:BATUSD,Short,0.2832684331749999,Open,CRYPTO:ZRXUSD,2,8,1,3.5596989444949636
34,2019-04-29,CRYPTO:ZRXUSD,Short,0.268582,Close,CRYPTO:BATUSD,2,8,1,1.0
35,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:ZRXUSD,2,8,1,3.5596989444949636
36,2019-04-03,CRYPTO:BTGUSD,Long,16.4,Open,CRYPTO:LTCUSD,2,9,1,1.0
37,2019-04-03,CRYPTO:LTCUSD,Short,85.622129,Open,CRYPTO:BTGUSD,2,9,1,0.4277497442561445
38,2019-04-29,CRYPTO:BTGUSD,Short,15.71,Close,CRYPTO:LTCUSD,2,9,1,1.0
39,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:BTGUSD,2,9,1,0.4277497442561445
40,2019-03-29,CRYPTO:MANAUSD,Long,0.06025558,Open,CRYPTO:BATUSD,2,10,1,1.0
41,2019-03-29,CRYPTO:BATUSD,Short,0.2832684331749999,Open,CRYPTO:MANAUSD,2,10,1,0.32831125149028695
42,2019-04-29,CRYPTO:MANAUSD,Short,0.04872126,Close,CRYPTO:BATUSD,2,10,1,1.0
43,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:MANAUSD,2,10,1,0.32831125149028695
44,2019-03-05,CRYPTO:ENJUSD,Short,0.1019262444749999,Open,CRYPTO:IOSTUSD,2,11,1,1.0
45,2019-03-05,CRYPTO:IOSTUSD,Long,0.00753585,Open,CRYPTO:ENJUSD,2,11,1,2.3015078550395107
46,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:IOSTUSD,2,11,1,1.0
47,2019-04-29,CRYPTO:IOSTUSD,Short,0.01076152,Close,CRYPTO:ENJUSD,2,11,1,2.3015078550395107
48,2019-03-02,CRYPTO:ENJUSD,Short,0.0830716795,Open,CRYPTO:ELFUSD,2,12,1,1.0
49,2019-03-02,CRYPTO:ELFUSD,Long,0.15295859,Open,CRYPTO:ENJUSD,2,12,1,0.08885650391568194
50,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:ELFUSD,2,12,1,1.0
51,2019-04-29,CRYPTO:ELFUSD,Short,0.15369929,Close,CRYPTO:ENJUSD,2,12,1,0.08885650391568194
52,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:ZILUSD,2,13,1,1.0
53,2019-03-08,CRYPTO:ZILUSD,Long,0.0171420769,Open,CRYPTO:ENJUSD,2,13,1,0.7812690468727657
54,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:ZILUSD,2,13,1,1.0
55,2019-04-29,CRYPTO:ZILUSD,Short,0.01632250435,Close,CRYPTO:ENJUSD,2,13,1,0.7812690468727657
56,2019-03-05,CRYPTO:ENJUSD,Short,0.1019262444749999,Open,CRYPTO:BTMUSD,2,14,1,1.0
57,2019-03-05,CRYPTO:BTMUSD,Long,0.087,Open,CRYPTO:ENJUSD,2,14,1,0.13761512539005638
58,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:BTMUSD,2,14,1,1.0
59,2019-04-29,CRYPTO:BTMUSD,Short,0.098,Close,CRYPTO:ENJUSD,2,14,1,0.13761512539005638
60,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:EOSUSD,2,15,1,1.0
61,2019-03-08,CRYPTO:EOSUSD,Long,3.568319326000001,Open,CRYPTO:ENJUSD,2,15,1,0.008028522304885648
62,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:EOSUSD,2,15,1,1.0
63,2019-04-29,CRYPTO:EOSUSD,Short,4.434366166,Close,CRYPTO:ENJUSD,2,15,1,0.008028522304885648
