,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-01-22,CRYPTO:LINKUSD,Short,0.53998369,Open,CRYPTO:KMDUSD,1,1,1,1.0
1,2019-01-22,CRYPTO:KMDUSD,Long,0.65954717,Open,CRYPTO:LINKUSD,1,1,1,0.08398797133976321
2,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:KMDUSD,1,1,1,1.0
3,2019-03-01,CRYPTO:KMDUSD,Short,1.0098671,Close,CRYPTO:LINKUSD,1,1,1,0.08398797133976321
4,2019-02-23,CRYPTO:XMRUSD,Long,53.8,Open,CRYPTO:MKRUSD,1,2,1,1.0
5,2019-02-23,CRYPTO:MKRUSD,Short,739.22579123,Open,CRYPTO:XMRUSD,1,2,1,0.27648602996491545
6,2019-03-01,CRYPTO:XMRUSD,Short,48.05,Close,CRYPTO:MKRUSD,1,2,1,1.0
7,2019-03-01,CRYPTO:MKRUSD,Long,674.92700908,Close,CRYPTO:XMRUSD,1,2,1,0.27648602996491545
8,2019-02-23,CRYPTO:BNTUSD,Long,0.59158493,Open,CRYPTO:MKRUSD,1,3,1,1.0
9,2019-02-23,CRYPTO:MKRUSD,Short,739.22579123,Open,CRYPTO:BNTUSD,1,3,1,0.006447379015986495
10,2019-03-01,CRYPTO:BNTUSD,Short,0.52533412,Close,CRYPTO:MKRUSD,1,3,1,1.0
11,2019-03-01,CRYPTO:MKRUSD,Long,674.92700908,Close,CRYPTO:BNTUSD,1,3,1,0.006447379015986495
12,2019-02-23,CRYPTO:MKRUSD,Short,739.22579123,Open,CRYPTO:ETHUSD,1,4,1,1.0
13,2019-02-23,CRYPTO:ETHUSD,Long,193.6725,Open,CRYPTO:MKRUSD,1,4,1,1.1636718364319778
14,2019-03-01,CRYPTO:MKRUSD,Long,674.92700908,Close,CRYPTO:ETHUSD,1,4,1,1.0
15,2019-03-01,CRYPTO:ETHUSD,Short,176.595,Close,CRYPTO:MKRUSD,1,4,1,1.1636718364319778
16,2019-02-23,CRYPTO:MKRUSD,Short,739.22579123,Open,CRYPTO:BNTUSD,1,5,1,1.0
17,2019-02-23,CRYPTO:BNTUSD,Long,0.59158493,Open,CRYPTO:MKRUSD,1,5,1,126.86957569366655
18,2019-03-01,CRYPTO:MKRUSD,Long,674.92700908,Close,CRYPTO:BNTUSD,1,5,1,1.0
