,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-01-01,CRYPTO:MANAUSD,Long,0.04685035,Open,CRYPTO:USDTUSD,1,1,1,1
1,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:MANAUSD,1,1,1,1
2,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:USDTUSD,1,1,1,1
3,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:MANAUSD,1,1,1,1
4,2019-01-11,CRYPTO:MANAUSD,Long,0.03923655,Open,CRYPTO:LINKUSD,1,2,1,1
5,2019-01-11,CRYPTO:LINKUSD,Short,0.43508867,Open,CRYPTO:MANAUSD,1,2,1,1
6,2019-03-01,CRYPTO:MANAUSD,Short,0.04286147,Close,CRYPTO:LINKUSD,1,2,1,1
7,2019-03-01,CRYPTO:LINKUSD,Long,0.43499212,Close,CRYPTO:MANAUSD,1,2,1,1
8,2019-01-01,CRYPTO:BATUSD,Long,0.130872158025,Open,CRYPTO:USDTUSD,1,3,1,1
9,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:BATUSD,1,3,1,1
10,2019-03-01,CRYPTO:BATUSD,Short,0.1624999119,Close,CRYPTO:USDTUSD,1,3,1,1
11,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:BATUSD,1,3,1,1
12,2019-04-21,CRYPTO:MANAUSD,Long,0.05523426,Open,CRYPTO:BATUSD,2,1,1,1
13,2019-04-21,CRYPTO:BATUSD,Short,0.44015057625,Open,CRYPTO:MANAUSD,2,1,1,1
14,2019-04-29,CRYPTO:MANAUSD,Short,0.04872126,Close,CRYPTO:BATUSD,2,1,1,1
15,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:MANAUSD,2,1,1,1
