,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:BNTUSD,1,1,1,1
1,2019-01-01,CRYPTO:BNTUSD,Long,0.65278549,Open,CRYPTO:USDTUSD,1,1,1,1
2,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:BNTUSD,1,1,1,1
3,2019-03-01,CRYPTO:BNTUSD,Short,0.52533412,Close,CRYPTO:USDTUSD,1,1,1,1
4,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:ADAUSD,1,2,1,1
5,2019-01-01,CRYPTO:ADAUSD,Long,0.0421,Open,CRYPTO:USDTUSD,1,2,1,1
6,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:ADAUSD,1,2,1,1
7,2019-03-01,CRYPTO:ADAUSD,Short,0.042762,Close,CRYPTO:USDTUSD,1,2,1,1
8,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:BTMUSD,1,3,1,1
9,2019-01-01,CRYPTO:BTMUSD,Long,0.0782,Open,CRYPTO:USDTUSD,1,3,1,1
10,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:BTMUSD,1,3,1,1
11,2019-03-01,CRYPTO:BTMUSD,Short,0.0879,Close,CRYPTO:USDTUSD,1,3,1,1
12,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:PIVXUSD,1,4,1,1
13,2019-01-01,CRYPTO:PIVXUSD,Long,0.85181602,Open,CRYPTO:USDTUSD,1,4,1,1
14,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:PIVXUSD,1,4,1,1
15,2019-03-01,CRYPTO:PIVXUSD,Short,0.73810132,Close,CRYPTO:USDTUSD,1,4,1,1
16,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:BNBUSD,1,5,1,1
17,2019-01-01,CRYPTO:BNBUSD,Long,6.03587134,Open,CRYPTO:USDTUSD,1,5,1,1
18,2019-02-04,CRYPTO:USDTUSD,Long,0.9851,Close,CRYPTO:BNBUSD,1,5,1,1
19,2019-02-04,CRYPTO:BNBUSD,Short,7.00302969,Close,CRYPTO:USDTUSD,1,5,1,1
20,2019-01-01,CRYPTO:USDTUSD,Short,1.0054,Open,CRYPTO:BCDUSD,1,6,1,1
21,2019-01-01,CRYPTO:BCDUSD,Long,0.904,Open,CRYPTO:USDTUSD,1,6,1,1
22,2019-03-01,CRYPTO:USDTUSD,Long,0.9954,Close,CRYPTO:BCDUSD,1,6,1,1
23,2019-03-01,CRYPTO:BCDUSD,Short,0.733,Close,CRYPTO:USDTUSD,1,6,1,1
24,2019-01-02,CRYPTO:USDTUSD,Short,1.007,Open,CRYPTO:TRXUSD,1,7,1,1
