Date,CRYPTO:MANAUSD CRYPTO:USDTUSD,CRYPTO:MANAUSD CRYPTO:LINKUSD,CRYPTO:BATUSD CRYPTO:USDTUSD,CRYPTO:MANAUSD CRYPTO:BATUSD,CRYPTO:MANAUSD CRYPTO:ENJUSD,CRYPTO:MANAUSD CRYPTO:BNBUSD,CRYPTO:BATUSD CRYPTO:XMRUSD,CRYPTO:BATUSD CRYPTO:ARDRUSD,CRYPTO:BATUSD CRYPTO:XRPUSD,CRYPTO:BATUSD CRYPTO:PIVXUSD,CRYPTO:BATUSD CRYPTO:QTUMUSD,CRYPTO:BATUSD CRYPTO:NEOUSD,CRYPTO:BATUSD CRYPTO:SNTUSD,CRYPTO:BATUSD CRYPTO:OMGUSD,CRYPTO:BATUSD CRYPTO:ARKUSD,CRYPTO:BATUSD CRYPTO:ETCUSD,CRYPTO:BATUSD CRYPTO:BTGUSD,CRYPTO:BATUSD CRYPTO:ZRXUSD,CRYPTO:BATUSD CRYPTO:BTSUSD,CRYPTO:BATUSD CRYPTO:ZILUSD,CRYPTO:BATUSD CRYPTO:XLMUSD,CRYPTO:BATUSD CRYPTO:ZECUSD,CRYPTO:BATUSD CRYPTO:AEUSD,CRYPTO:BATUSD CRYPTO:DCRUSD,CRYPTO:BATUSD CRYPTO:BTMUSD,CRYPTO:BATUSD CRYPTO:ICXUSD,CRYPTO:BATUSD CRYPTO:STEEMUSD,CRYPTO:BATUSD CRYPTO:BCDUSD,CRYPTO:BATUSD CRYPTO:MIOTAUSD,CRYPTO:BATUSD CRYPTO:LRCUSD,CRYPTO:BATUSD CRYPTO:ELFUSD,CRYPTO:BATUSD CRYPTO:LSKUSD,CRYPTO:BATUSD CRYPTO:ETHUSD,CRYPTO:MANAUSD CRYPTO:BTCUSD,CRYPTO:BATUSD CRYPTO:SCUSD,CRYPTO:BATUSD CRYPTO:LINKUSD,CRYPTO:BATUSD CRYPTO:WAVESUSD,CRYPTO:XMRUSD CRYPTO:WAVESUSD,CRYPTO:XMRUSD CRYPTO:ZILUSD,CRYPTO:XMRUSD CRYPTO:LINKUSD,CRYPTO:BATUSD CRYPTO:XVGUSD,CRYPTO:OKBUSD CRYPTO:TUSDUSD,CRYPTO:OKBUSD CRYPTO:KMDUSD,CRYPTO:OKBUSD CRYPTO:DASHUSD,CRYPTO:OKBUSD CRYPTO:ARDRUSD,CRYPTO:OKBUSD CRYPTO:SCUSD,CRYPTO:OKBUSD CRYPTO:XRPUSD,CRYPTO:OKBUSD CRYPTO:WAVESUSD,CRYPTO:OKBUSD CRYPTO:XVGUSD,CRYPTO:OKBUSD CRYPTO:OMGUSD,CRYPTO:OKBUSD CRYPTO:ETCUSD,CRYPTO:OKBUSD CRYPTO:BTGUSD,CRYPTO:OKBUSD CRYPTO:BTSUSD,CRYPTO:OKBUSD CRYPTO:TRXUSD,CRYPTO:OKBUSD CRYPTO:XLMUSD,CRYPTO:OKBUSD CRYPTO:ZECUSD,CRYPTO:OKBUSD CRYPTO:AEUSD,CRYPTO:OKBUSD CRYPTO:ICXUSD,CRYPTO:OKBUSD CRYPTO:STEEMUSD,CRYPTO:OKBUSD CRYPTO:BCDUSD,CRYPTO:OKBUSD CRYPTO:MIOTAUSD,CRYPTO:OKBUSD CRYPTO:LSKUSD,CRYPTO:OKBUSD CRYPTO:ETHUSD,CRYPTO:BATUSD CRYPTO:TUSDUSD,CRYPTO:BATUSD CRYPTO:SNXUSD,CRYPTO:OKBUSD CRYPTO:ONTUSD,CRYPTO:OKBUSD CRYPTO:ZRXUSD,CRYPTO:OKBUSD CRYPTO:IOSTUSD,CRYPTO:OKBUSD CRYPTO:DCRUSD,CRYPTO:OKBUSD CRYPTO:BTMUSD,CRYPTO:BATUSD CRYPTO:BSVUSD,CRYPTO:XMRUSD CRYPTO:TUSDUSD,CRYPTO:XMRUSD CRYPTO:BSVUSD,CRYPTO:OKBUSD CRYPTO:BATUSD,CRYPTO:OKBUSD CRYPTO:XMRUSD,CRYPTO:OKBUSD CRYPTO:DOGEUSD,CRYPTO:OKBUSD CRYPTO:REPUSD,CRYPTO:OKBUSD CRYPTO:KCSUSD,CRYPTO:OKBUSD CRYPTO:QTUMUSD,CRYPTO:OKBUSD CRYPTO:NEOUSD,CRYPTO:OKBUSD CRYPTO:ENJUSD,CRYPTO:OKBUSD CRYPTO:EOSUSD,CRYPTO:OKBUSD CRYPTO:THETAUSD,CRYPTO:OKBUSD CRYPTO:BCHUSD,CRYPTO:OKBUSD CRYPTO:ADAUSD,CRYPTO:OKBUSD CRYPTO:MKRUSD,CRYPTO:OKBUSD CRYPTO:LTCUSD,CRYPTO:OKBUSD CRYPTO:BNBUSD,CRYPTO:BATUSD CRYPTO:XTZUSD,CRYPTO:BATUSD CRYPTO:KNCUSD,CRYPTO:BATUSD CRYPTO:MKRUSD,CRYPTO:XMRUSD CRYPTO:KCSUSD,CRYPTO:OKBUSD CRYPTO:ATOMUSD,CRYPTO:BATUSD CRYPTO:ENJUSD,CRYPTO:BATUSD CRYPTO:THETAUSD,CRYPTO:OKBUSD CRYPTO:LINKUSD,CRYPTO:BATUSD CRYPTO:DOGEUSD,CRYPTO:BATUSD CRYPTO:DASHUSD,CRYPTO:BATUSD CRYPTO:EOSUSD,CRYPTO:BATUSD CRYPTO:BCHUSD,CRYPTO:BATUSD CRYPTO:LTCUSD,CRYPTO:BATUSD CRYPTO:BNBUSD,CRYPTO:BATUSD CRYPTO:BTCUSD,CRYPTO:BATUSD CRYPTO:TRXUSD,CRYPTO:XMRUSD CRYPTO:DOGEUSD,CRYPTO:XMRUSD CRYPTO:DASHUSD,CRYPTO:XMRUSD CRYPTO:DCRUSD,CRYPTO:XMRUSD CRYPTO:USDTUSD,CRYPTO:XMRUSD CRYPTO:SXPUSD,CRYPTO:XMRUSD CRYPTO:ONTUSD,CRYPTO:XMRUSD CRYPTO:BCHUSD,CRYPTO:XMRUSD CRYPTO:LSKUSD,CRYPTO:XMRUSD CRYPTO:BCDUSD,CRYPTO:XMRUSD CRYPTO:REPUSD,CRYPTO:XMRUSD CRYPTO:EOSUSD,CRYPTO:XMRUSD CRYPTO:ETCUSD,CRYPTO:XMRUSD CRYPTO:TRXUSD,CRYPTO:XMRUSD CRYPTO:LTCUSD,CRYPTO:MANAUSD CRYPTO:TUSDUSD,CRYPTO:MANAUSD CRYPTO:ONTUSD,CRYPTO:MANAUSD CRYPTO:BCDUSD,CRYPTO:MANAUSD CRYPTO:XRPUSD,CRYPTO:MANAUSD CRYPTO:XLMUSD,CRYPTO:MANAUSD CRYPTO:BTMUSD,CRYPTO:MANAUSD CRYPTO:EOSUSD,CRYPTO:BATUSD CRYPTO:FILUSD,CRYPTO:MANAUSD CRYPTO:DOGEUSD,CRYPTO:MANAUSD CRYPTO:DCRUSD,CRYPTO:MANAUSD CRYPTO:DAIUSD,CRYPTO:MANAUSD CRYPTO:OKBUSD,CRYPTO:MANAUSD CRYPTO:BSVUSD,CRYPTO:MANAUSD CRYPTO:MKRUSD,CRYPTO:MANAUSD CRYPTO:LTCUSD,CRYPTO:BATUSD CRYPTO:DAIUSD,CRYPTO:BATUSD CRYPTO:LEOUSD,CRYPTO:BATUSD CRYPTO:OKBUSD,CRYPTO:BATUSD CRYPTO:ANTUSD,CRYPTO:BATUSD CRYPTO:TFUELUSD,CRYPTO:MANAUSD CRYPTO:USDCUSD,CRYPTO:MANAUSD CRYPTO:OMGUSD,CRYPTO:BATUSD CRYPTO:AAVEUSD,CRYPTO:BATUSD CRYPTO:USDCUSD,CRYPTO:MANAUSD CRYPTO:ETCUSD,CRYPTO:MANAUSD CRYPTO:COMPUSD,CRYPTO:MANAUSD CRYPTO:YFIUSD,CRYPTO:MANAUSD CRYPTO:XMRUSD,CRYPTO:MANAUSD CRYPTO:KSMUSD,CRYPTO:MANAUSD CRYPTO:DASHUSD,CRYPTO:MANAUSD CRYPTO:NEOUSD,CRYPTO:MANAUSD CRYPTO:UNIUSD,CRYPTO:MANAUSD CRYPTO:CELOUSD,CRYPTO:MANAUSD CRYPTO:BCHUSD,CRYPTO:MANAUSD CRYPTO:FILUSD,CRYPTO:MANAUSD CRYPTO:AAVEUSD,CRYPTO:MANAUSD CRYPTO:1INCHUSD,CRYPTO:MANAUSD CRYPTO:SUSHIUSD,CRYPTO:MANAUSD CRYPTO:THETAUSD,CRYPTO:MANAUSD CRYPTO:ZILUSD,CRYPTO:BATUSD CRYPTO:COMPUSD,CRYPTO:MANAUSD CRYPTO:ALGOUSD,CRYPTO:MANAUSD CRYPTO:ADAUSD,CRYPTO:MANAUSD CRYPTO:MIOTAUSD,CRYPTO:MANAUSD CRYPTO:FLOWUSD,CRYPTO:MANAUSD CRYPTO:CAKEUSD,CRYPTO:MANAUSD CRYPTO:TFUELUSD,CRYPTO:MANAUSD CRYPTO:KLAYUSD,CRYPTO:MANAUSD CRYPTO:CHZUSD,CRYPTO:MANAUSD CRYPTO:ETHUSD,CRYPTO:MANAUSD CRYPTO:MATICUSD,CRYPTO:MANAUSD CRYPTO:HBARUSD,CRYPTO:MANAUSD CRYPTO:WBTCUSD,CRYPTO:BATUSD CRYPTO:KCSUSD,CRYPTO:BATUSD CRYPTO:NEARUSD,CRYPTO:BATUSD CRYPTO:PAXGUSD,CRYPTO:MANAUSD CRYPTO:USDPUSD,CRYPTO:MANAUSD CRYPTO:FEIUSD,CRYPTO:KAVAUSD CRYPTO:TWTUSD,CRYPTO:KAVAUSD CRYPTO:USDPUSD,CRYPTO:KAVAUSD CRYPTO:QNTUSD,CRYPTO:MANAUSD CRYPTO:TWTUSD,CRYPTO:MANAUSD CRYPTO:USDDUSD,CRYPTO:MANAUSD CRYPTO:GUSDUSD,CRYPTO:MANAUSD CRYPTO:FTTUSD,CRYPTO:KAVAUSD CRYPTO:DAIUSD,CRYPTO:KAVAUSD CRYPTO:CHZUSD,CRYPTO:KAVAUSD CRYPTO:TUSDUSD,CRYPTO:BATUSD CRYPTO:TWTUSD,CRYPTO:BATUSD CRYPTO:USDPUSD,CRYPTO:MANAUSD CRYPTO:PAXGUSD,CRYPTO:MANAUSD CRYPTO:AGIXUSD,CRYPTO:MANAUSD CRYPTO:CFXUSD,CRYPTO:MANAUSD CRYPTO:SSVUSD,CRYPTO:MANAUSD CRYPTO:CSPRUSD,CRYPTO:MANAUSD CRYPTO:RPLUSD,CRYPTO:MANAUSD CRYPTO:WOOUSD,CRYPTO:MANAUSD CRYPTO:INJUSD,CRYPTO:MANAUSD CRYPTO:TRXUSD,CRYPTO:MANAUSD CRYPTO:RNDRUSD,CRYPTO:KAVAUSD CRYPTO:CSPRUSD,CRYPTO:KAVAUSD CRYPTO:WBTCUSD,CRYPTO:MANAUSD CRYPTO:BUSDUSD,CRYPTO:MANAUSD CRYPTO:XDCUSD
2019-01-01,-2.9229575743220346,-1.4809448785496202,-2.523504785407706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,-3.0324026706925524,-1.579359886527824,-2.6113352948884065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,-3.019528325413787,-2.1215194161803663,-2.479191450852859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,-2.9954998453551633,-2.3979436924677535,-2.434426610130709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-05,-2.9085006430148606,-2.1853063596953057,-2.3862799431204413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-06,-3.4274172524525044,-2.1522470775981573,-2.874404582156737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,-2.9421535112050425,-2.039561724941056,-2.3815549767230064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,-3.0027195198219503,-2.290419793584919,-2.3996126909753874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,-2.9420541341574773,-2.096449237978234,-2.418384185590293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,-3.747634910512226,-2.311669011013947,-2.992448882931279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,-3.483536793902852,-2.748840042751013,-2.695618278811349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,-3.579422797039307,-2.638364858204897,-2.734190890071966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-13,-3.7340453988513342,-3.0512748155444287,-2.875075712352853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,-3.5889139657014812,-3.0379671359868574,-2.832344988573402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15,-3.4007811209038423,-3.236282013189522,-2.645641359106261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,-2.862164299244189,-2.884404812098939,-2.310330713109032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17,-2.9698495254455874,-2.780729309919434,-2.3586336785797917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,-2.795688811462822,-2.9375988109628004,-2.183611844448935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-19,-2.793577804940757,-2.7653054573245557,-2.2101922237984826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-20,-2.595466758035193,-2.916645250720654,-1.970941907780835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,-2.7348523713217494,-2.9716830047854597,-2.128738411313481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,-2.563162250709356,-3.040473627903491,-2.008509887899055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,-2.6426600700437253,-2.949217048764603,-2.0659412214032113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
