,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-03-05,CRYPTO:ENJUSD,Short,0.1019262444749999,Open,CRYPTO:ELFUSD,2,1,1,1.0
1,2019-03-05,CRYPTO:ELFUSD,Long,0.14583412,Open,CRYPTO:ENJUSD,2,1,1,0.08885650391568194
2,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:ELFUSD,2,1,1,1.0
3,2019-04-29,CRYPTO:ELFUSD,Short,0.15369929,Close,CRYPTO:ENJUSD,2,1,1,0.08885650391568194
4,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:BNBUSD,2,2,1,1.0
5,2019-03-08,CRYPTO:BNBUSD,Long,14.2083219,Open,CRYPTO:ENJUSD,2,2,1,0.007346877479853326
6,2019-04-24,CRYPTO:ENJUSD,Long,0.160174320075,Close,CRYPTO:BNBUSD,2,2,1,1.0
7,2019-04-24,CRYPTO:BNBUSD,Short,23.10472387,Close,CRYPTO:ENJUSD,2,2,1,0.007346877479853326
8,2019-03-07,CRYPTO:EOSUSD,Long,3.73890865375,Open,CRYPTO:BNBUSD,2,3,1,1.0
9,2019-03-07,CRYPTO:BNBUSD,Short,15.02233887,Open,CRYPTO:EOSUSD,2,3,1,1.021249737766048
10,2019-04-29,CRYPTO:EOSUSD,Short,4.434366166,Close,CRYPTO:BNBUSD,2,3,1,1.0
11,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:EOSUSD,2,3,1,1.021249737766048
12,2019-04-03,CRYPTO:LTCUSD,Short,85.622129,Open,CRYPTO:ARKUSD,2,4,1,1.0
13,2019-04-03,CRYPTO:ARKUSD,Long,0.68069423,Open,CRYPTO:LTCUSD,2,4,1,43.024917424552804
14,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:ARKUSD,2,4,1,1.0
15,2019-04-29,CRYPTO:ARKUSD,Short,0.46135533,Close,CRYPTO:LTCUSD,2,4,1,43.024917424552804
16,2019-04-02,CRYPTO:LTCUSD,Short,77.535559,Open,CRYPTO:NEOUSD,2,5,1,1.0
17,2019-04-02,CRYPTO:NEOUSD,Long,11.60318786,Open,CRYPTO:LTCUSD,2,5,1,1.7436855593671943
18,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:NEOUSD,2,5,1,1.0
19,2019-04-29,CRYPTO:NEOUSD,Short,9.27859711,Close,CRYPTO:LTCUSD,2,5,1,1.7436855593671943
20,2019-04-19,CRYPTO:QTUMUSD,Long,2.9085237500000005,Open,CRYPTO:BNBUSD,2,6,1,1.0
21,2019-04-19,CRYPTO:BNBUSD,Short,24.4432336,Open,CRYPTO:QTUMUSD,2,6,1,1.2646432775208791
22,2019-04-29,CRYPTO:QTUMUSD,Short,2.2655842,Close,CRYPTO:BNBUSD,2,6,1,1.0
23,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:QTUMUSD,2,6,1,1.2646432775208791
24,2019-04-03,CRYPTO:ARKUSD,Long,0.68069423,Open,CRYPTO:LTCUSD,2,7,1,1.0
25,2019-04-03,CRYPTO:LTCUSD,Short,85.622129,Open,CRYPTO:ARKUSD,2,7,1,0.022213017892031256
26,2019-04-29,CRYPTO:ARKUSD,Short,0.46135533,Close,CRYPTO:LTCUSD,2,7,1,1.0
27,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:ARKUSD,2,7,1,0.022213017892031256
28,2019-03-01,CRYPTO:THETAUSD,Short,0.1395847217,Open,CRYPTO:XTZUSD,2,8,1,1.0
29,2019-03-01,CRYPTO:XTZUSD,Long,0.41215696,Open,CRYPTO:THETAUSD,2,8,1,0.03382060194425974
30,2019-04-29,CRYPTO:THETAUSD,Long,0.08861523655,Close,CRYPTO:XTZUSD,2,8,1,1.0
31,2019-04-29,CRYPTO:XTZUSD,Short,1.13386337,Close,CRYPTO:THETAUSD,2,8,1,0.03382060194425974
32,2019-04-02,CRYPTO:THETAUSD,Long,0.1139239906,Open,CRYPTO:BNBUSD,2,9,1,1.0
33,2019-04-02,CRYPTO:BNBUSD,Short,19.90532514,Open,CRYPTO:THETAUSD,2,9,1,0.013119207029959178
34,2019-04-29,CRYPTO:THETAUSD,Short,0.08861523655,Close,CRYPTO:BNBUSD,2,9,1,1.0
35,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:THETAUSD,2,9,1,0.013119207029959178
36,2019-04-02,CRYPTO:ETCUSD,Long,5.49,Open,CRYPTO:KCSUSD,2,10,1,1.0
37,2019-04-02,CRYPTO:KCSUSD,Short,2.07731,Open,CRYPTO:ETCUSD,2,10,1,4.636041142336051
38,2019-04-29,CRYPTO:ETCUSD,Short,5.488,Close,CRYPTO:KCSUSD,2,10,1,1.0
39,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:ETCUSD,2,10,1,4.636041142336051
40,2019-03-24,CRYPTO:ETHUSD,Long,177.0075,Open,CRYPTO:BNBUSD,2,11,1,1.0
41,2019-03-24,CRYPTO:BNBUSD,Short,17.02967961,Open,CRYPTO:ETHUSD,2,11,1,37.428983857008674
42,2019-04-29,CRYPTO:ETHUSD,Short,189.73,Close,CRYPTO:BNBUSD,2,11,1,1.0
43,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:ETHUSD,2,11,1,37.428983857008674
44,2019-03-30,CRYPTO:ETHUSD,Long,182.055,Open,CRYPTO:KCSUSD,2,12,1,1.0
45,2019-03-30,CRYPTO:KCSUSD,Short,1.7177,Open,CRYPTO:ETHUSD,2,12,1,126.1963769600895
46,2019-04-29,CRYPTO:ETHUSD,Short,189.73,Close,CRYPTO:KCSUSD,2,12,1,1.0
47,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:ETHUSD,2,12,1,126.1963769600895
48,2019-04-18,CRYPTO:BATUSD,Short,0.3501009019999999,Open,CRYPTO:BTMUSD,2,13,1,1.0
49,2019-04-18,CRYPTO:BTMUSD,Long,0.1201,Open,CRYPTO:BATUSD,2,13,1,0.2868911013673466
50,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:BTMUSD,2,13,1,1.0
51,2019-04-29,CRYPTO:BTMUSD,Short,0.098,Close,CRYPTO:BATUSD,2,13,1,0.2868911013673466
52,2019-03-31,CRYPTO:BATUSD,Short,0.288515294,Open,CRYPTO:MANAUSD,2,14,1,1.0
53,2019-03-31,CRYPTO:MANAUSD,Long,0.05616359,Open,CRYPTO:BATUSD,2,14,1,2.6025464946135886
54,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:MANAUSD,2,14,1,1.0
55,2019-04-29,CRYPTO:MANAUSD,Short,0.04872126,Close,CRYPTO:BATUSD,2,14,1,2.6025464946135886
56,2019-03-29,CRYPTO:BATUSD,Short,0.2832684331749999,Open,CRYPTO:ZRXUSD,2,15,1,1.0
57,2019-03-29,CRYPTO:ZRXUSD,Long,0.306,Open,CRYPTO:BATUSD,2,15,1,0.21302531863900548
58,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:ZRXUSD,2,15,1,1.0
59,2019-04-29,CRYPTO:ZRXUSD,Short,0.268582,Close,CRYPTO:BATUSD,2,15,1,0.21302531863900548
60,2019-04-02,CRYPTO:NEOUSD,Long,11.60318786,Open,CRYPTO:LTCUSD,2,16,1,1.0
61,2019-04-02,CRYPTO:LTCUSD,Short,77.535559,Open,CRYPTO:NEOUSD,2,16,1,0.5589917906093231
62,2019-04-29,CRYPTO:NEOUSD,Short,9.27859711,Close,CRYPTO:LTCUSD,2,16,1,1.0
63,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:NEOUSD,2,16,1,0.5589917906093231
64,2019-03-31,CRYPTO:MANAUSD,Long,0.05616359,Open,CRYPTO:BATUSD,2,17,1,1.0
65,2019-03-31,CRYPTO:BATUSD,Short,0.288515294,Open,CRYPTO:MANAUSD,2,17,1,0.32831125149028695
66,2019-04-29,CRYPTO:MANAUSD,Short,0.04872126,Close,CRYPTO:BATUSD,2,17,1,1.0
67,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:MANAUSD,2,17,1,0.32831125149028695
68,2019-04-19,CRYPTO:DASHUSD,Long,122.615,Open,CRYPTO:BNBUSD,2,18,1,1.0
69,2019-04-19,CRYPTO:BNBUSD,Short,24.4432336,Open,CRYPTO:DASHUSD,2,18,1,27.004024284119225
70,2019-04-29,CRYPTO:DASHUSD,Short,105.78,Close,CRYPTO:BNBUSD,2,18,1,1.0
71,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:DASHUSD,2,18,1,27.004024284119225
72,2019-03-06,CRYPTO:BNBUSD,Short,14.4735612,Open,CRYPTO:ETCUSD,2,19,1,1.0
73,2019-03-06,CRYPTO:ETCUSD,Long,4.52,Open,CRYPTO:BNBUSD,2,19,1,0.3845621138862207
74,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:ETCUSD,2,19,1,1.0
75,2019-04-29,CRYPTO:ETCUSD,Short,5.488,Close,CRYPTO:BNBUSD,2,19,1,0.3845621138862207
76,2019-03-07,CRYPTO:BNBUSD,Short,15.02233887,Open,CRYPTO:ETHUSD,2,20,1,1.0
77,2019-03-07,CRYPTO:ETHUSD,Long,177.665,Open,CRYPTO:BNBUSD,2,20,1,0.01472976021300671
78,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:ETHUSD,2,20,1,1.0
79,2019-04-29,CRYPTO:ETHUSD,Short,189.73,Close,CRYPTO:BNBUSD,2,20,1,0.01472976021300671
80,2019-04-19,CRYPTO:LSKUSD,Long,2.04284132,Open,CRYPTO:BNBUSD,2,21,1,1.0
81,2019-04-19,CRYPTO:BNBUSD,Short,24.4432336,Open,CRYPTO:LSKUSD,2,21,1,0.7630137227048156
82,2019-04-29,CRYPTO:LSKUSD,Short,1.65233175,Close,CRYPTO:BNBUSD,2,21,1,1.0
83,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:LSKUSD,2,21,1,0.7630137227048156
84,2019-03-29,CRYPTO:ZRXUSD,Long,0.306,Open,CRYPTO:BATUSD,2,22,1,1.0
85,2019-03-29,CRYPTO:BATUSD,Short,0.2832684331749999,Open,CRYPTO:ZRXUSD,2,22,1,3.5596989444949636
86,2019-04-29,CRYPTO:ZRXUSD,Short,0.268582,Close,CRYPTO:BATUSD,2,22,1,1.0
87,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:ZRXUSD,2,22,1,3.5596989444949636
88,2019-03-30,CRYPTO:KCSUSD,Short,1.7177,Open,CRYPTO:ETHUSD,2,23,1,1.0
89,2019-03-30,CRYPTO:ETHUSD,Long,182.055,Open,CRYPTO:KCSUSD,2,23,1,0.007426866007188354
90,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:ETHUSD,2,23,1,1.0
91,2019-04-29,CRYPTO:ETHUSD,Short,189.73,Close,CRYPTO:KCSUSD,2,23,1,0.007426866007188354
92,2019-03-06,CRYPTO:KCSUSD,Long,0.49196,Open,CRYPTO:BNBUSD,2,24,1,1.0
93,2019-03-06,CRYPTO:BNBUSD,Short,14.4735612,Open,CRYPTO:KCSUSD,2,24,1,0.29668508380572317
94,2019-04-29,CRYPTO:KCSUSD,Short,1.16597,Close,CRYPTO:BNBUSD,2,24,1,1.0
95,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:KCSUSD,2,24,1,0.29668508380572317
96,2019-03-29,CRYPTO:KCSUSD,Short,1.59,Open,CRYPTO:BCHUSD,2,25,1,1.0
97,2019-03-29,CRYPTO:BCHUSD,Long,170.13,Open,CRYPTO:KCSUSD,2,25,1,0.002949916514170027
98,2019-04-29,CRYPTO:KCSUSD,Long,1.16597,Close,CRYPTO:BCHUSD,2,25,1,1.0
99,2019-04-29,CRYPTO:BCHUSD,Short,234.32,Close,CRYPTO:KCSUSD,2,25,1,0.002949916514170027
100,2019-03-29,CRYPTO:BCHUSD,Long,170.13,Open,CRYPTO:KCSUSD,2,26,1,1.0
