,Date,Crypto,Long/Short,Price,Open/Close,Transaction pair,Period No.,Pair No.,Round Trip No.,Quantity
0,2019-04-19,CRYPTO:BCDUSD,Long,1.143,Open,CRYPTO:BATUSD,2,1,1,1.0
1,2019-04-19,CRYPTO:BATUSD,Short,0.37805520525,Open,CRYPTO:BCDUSD,2,1,1,11.366212616574149
2,2019-04-29,CRYPTO:BCDUSD,Short,0.877,Close,CRYPTO:BATUSD,2,1,1,1.0
3,2019-04-29,CRYPTO:BATUSD,Long,0.3684663758,Close,CRYPTO:BCDUSD,2,1,1,11.366212616574149
4,2019-03-05,CRYPTO:ENJUSD,Short,0.1019262444749999,Open,CRYPTO:ELFUSD,2,2,1,1.0
5,2019-03-05,CRYPTO:ELFUSD,Long,0.14583412,Open,CRYPTO:ENJUSD,2,2,1,0.08885650391568194
6,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:ELFUSD,2,2,1,1.0
7,2019-04-29,CRYPTO:ELFUSD,Short,0.15369929,Close,CRYPTO:ENJUSD,2,2,1,0.08885650391568194
8,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:EOSUSD,2,3,1,1.0
9,2019-03-08,CRYPTO:EOSUSD,Long,3.568319326000001,Open,CRYPTO:ENJUSD,2,3,1,0.008028522304885648
10,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:EOSUSD,2,3,1,1.0
11,2019-04-29,CRYPTO:EOSUSD,Short,4.434366166,Close,CRYPTO:ENJUSD,2,3,1,0.008028522304885648
12,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:BTMUSD,2,4,1,1.0
13,2019-03-08,CRYPTO:BTMUSD,Long,0.093,Open,CRYPTO:ENJUSD,2,4,1,0.13761512539005638
14,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:BTMUSD,2,4,1,1.0
15,2019-04-29,CRYPTO:BTMUSD,Short,0.098,Close,CRYPTO:ENJUSD,2,4,1,0.13761512539005638
16,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:ZILUSD,2,5,1,1.0
17,2019-03-08,CRYPTO:ZILUSD,Long,0.0171420769,Open,CRYPTO:ENJUSD,2,5,1,0.7812690468727657
18,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:ZILUSD,2,5,1,1.0
19,2019-04-29,CRYPTO:ZILUSD,Short,0.01632250435,Close,CRYPTO:ENJUSD,2,5,1,0.7812690468727657
20,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:IOSTUSD,2,6,1,1.0
21,2019-03-08,CRYPTO:IOSTUSD,Long,0.00768703,Open,CRYPTO:ENJUSD,2,6,1,2.3015078550395107
22,2019-04-29,CRYPTO:ENJUSD,Long,0.14494589825,Close,CRYPTO:IOSTUSD,2,6,1,1.0
23,2019-04-29,CRYPTO:IOSTUSD,Short,0.01076152,Close,CRYPTO:ENJUSD,2,6,1,2.3015078550395107
24,2019-03-08,CRYPTO:ENJUSD,Short,0.20735763425,Open,CRYPTO:BNBUSD,2,7,1,1.0
25,2019-03-08,CRYPTO:BNBUSD,Long,14.2083219,Open,CRYPTO:ENJUSD,2,7,1,0.007346877479853326
26,2019-03-30,CRYPTO:ENJUSD,Long,0.149699203575,Close,CRYPTO:BNBUSD,2,7,1,1.0
27,2019-03-30,CRYPTO:BNBUSD,Short,16.91965322,Close,CRYPTO:ENJUSD,2,7,1,0.007346877479853326
28,2019-03-07,CRYPTO:EOSUSD,Long,3.73890865375,Open,CRYPTO:BNBUSD,2,8,1,1.0
29,2019-03-07,CRYPTO:BNBUSD,Short,15.02233887,Open,CRYPTO:EOSUSD,2,8,1,1.021249737766048
30,2019-04-29,CRYPTO:EOSUSD,Short,4.434366166,Close,CRYPTO:BNBUSD,2,8,1,1.0
31,2019-04-29,CRYPTO:BNBUSD,Long,21.32378147,Close,CRYPTO:EOSUSD,2,8,1,1.021249737766048
32,2019-04-03,CRYPTO:LTCUSD,Short,85.622129,Open,CRYPTO:ARKUSD,2,9,1,1.0
33,2019-04-03,CRYPTO:ARKUSD,Long,0.68069423,Open,CRYPTO:LTCUSD,2,9,1,43.024917424552804
34,2019-04-29,CRYPTO:LTCUSD,Long,66.52014,Close,CRYPTO:ARKUSD,2,9,1,1.0
35,2019-04-29,CRYPTO:ARKUSD,Short,0.46135533,Close,CRYPTO:LTCUSD,2,9,1,43.024917424552804
