CloseTime,ATOMUSDT,FTTUSDT,WANUSDT,APEUSDT,APTUSDT,MKRUSDT,ZENUSDT,KSMUSDT,IOSTUSDT,AMPUSDT,COMPUSDT,USDCUSDT,NEOUSDT,BSVUSDT,AAVEUSDT,GASUSDT,BTGUSDT,ARDRUSDT,BUSDUSDT,DOGEUSDT,LSKUSDT,DASHUSDT,FILUSDT,UNIUSDT,WTCUSDT,NEARUSDT,OPUSDT,AVAXUSDT,QTUMUSDT,RUNEUSDT,SANDUSDT,VGXUSDT,OMGUSDT,BCCUSDT,KNCUSDT,USDPUSDT,KMDUSDT,GRTUSDT,ZECUSDT,ZRXUSDT,RENUSDT,ERDUSDT,BTCUSDT,RNDRUSDT,HBARUSDT,BTSUSDT,CELOUSDT,ARKUSDT,NPXSUSDT,XEMUSDT,ONEUSDT,ONTUSDT,TFUELUSDT,ICPUSDT,RVNUSDT,BATUSDT,DOTUSDT,XRPUSDT,WAVESUSDT,EGLDUSDT,AIONUSDT,SHIBUSDT,NANOUSDT,SNXUSDT,STEEMUSDT,FLOWUSDT,UMAUSDT,SCUSDT,BNBUSDT,VENUSDT,LRCUSDT,LINKUSDT,ENJUSDT,TUSDUSDT,GALAUSDT,SOLUSDT,ETHUSDT,THETAUSDT,ZILUSDT,VETUSDT,YFIUSDT,LDOUSDT,LENDUSDT,ICXUSDT,XMRUSDT,BTTUSDT,TRXUSDT,KLAYUSDT,XLMUSDT,NEXOUSDT,CHZUSDT,IMXUSDT,CAKEUSDT,ETCUSDT,ARBUSDT,FTMUSDT,LUNAUSDT,DGBUSDT,MITHUSDT,GMTUSDT,MATICUSDT,PAXUSDT,CFXUSDT,EOSUSDT,SUSHIUSDT,USTUSDT,HCUSDT,XTZUSDT,LTCUSDT,QNTUSDT,ALGOUSDT,BCHUSDT,REPUSDT,SNTUSDT,TWTUSDT,HOTUSDT,STXUSDT,XECUSDT,ACAUSDT,MANAUSDT,ADAUSDT,WBTCUSDT,DAIUSDT,XVGUSDT,DCRUSDT,HNTUSDT,RPLUSDT,AXSUSDT,STRATUSDT
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10285.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,126.5,,,,,,,,,,,,,,,,,,,,,1287.37,,,,,,,,,9224.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.69,,,1287.37,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,121.155,,,,,,,,,,,,,,,,,,,,,1192.87,,,,,,,,,8873.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.68,,,1192.87,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,124.601,,,,,,,,,,,,,,,,,,,,,1276.4,,,,,,,,,9199.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3,,,1276.4,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,107.025,,,,,,,,,,,,,,,,,,,,,1159.26,,,,,,,,,8184.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.09,,,1159.26,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,82.136,,,,,,,,,,,,,,,,,,,,,879.87,,,,,,,,,6939.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.17,,,879.87,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,103.534,,,,,,,,,,,,,,,,,,,,,963.82,,,,,,,,,7667.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,,,963.82,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,102.337,,,,,,,,,,,,,,,,,,,,,951.0,,,,,,,,,7599.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.21,,,951.0,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,109.2,,,,,,,,,,,,,,,,,,,,,976.0,,,,,,,,,7784.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.37,,,976.0,,,,,,,,,,,,,,,,,
2018-02-10,,,,,,,,,,,,,114.52,,,,,,,,,,,,,,,,,,,,,1302.77,,,,,,,,,8683.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.73,,,1302.77,,,,,,,,,,,,,,,,,
