CloseTime,ATOMUSD,APEUSD,APTUSD,MKRUSD,ZENUSD,KSMUSD,AMPUSD,COMPUSD,CROUSD,AAVEUSD,BUSDUSD,DOGEUSD,DASHUSD,FILUSD,UNIUSD,NEARUSD,OPUSD,AVAXUSD,SANDUSD,VGXUSD,OMGUSD,KNCUSD,USDPUSD,GRTUSD,GUSDUSD,ZECUSD,XCNUSD,ZRXUSD,RENUSD,BTCUSD,RNDRUSD,HBARUSD,CELOUSD,ICPUSD,BATUSD,DOTUSD,XRPUSD,EGLDUSD,SHIBUSD,SNXUSD,FLOWUSD,UMAUSD,LRCUSD,LINKUSD,ENJUSD,GALAUSD,SOLUSD,ETHUSD,VETUSD,YFIUSD,LDOUSD,XLMUSD,CHZUSD,IMXUSD,BITUSD,ETCUSD,ARBUSD,USDTUSD,GMTUSD,MATICUSD,EOSUSD,SUSHIUSD,USTUSD,XTZUSD,LTCUSD,QNTUSD,ALGOUSD,BCHUSD,REPUSD,SNTUSD,STXUSD,MANAUSD,ADAUSD,WBTCUSD,DAIUSD,HNTUSD,RPLUSD,AXSUSD
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13863.13,,,,,,,,,,,,,,,,,,741.27,,,,,,,,,,,,,,,,,227.17,,,2366.9,,,,,,,,,,
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13480.01,,,,,,,,,,,,,,,,,,759.03,,,,,,,,,,,,,,,,,225.22,,,2326.86,,,,,,,,,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14781.52,,,,,,,,,,,,,,,,,,865.0,,,,,,,,,,,,,,,,,253.31,,,2558.58,,,,,,,,,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15098.14,,,,,,,,,,,,,,,,,,938.31,,,,,,,,,,,,,,,,,244.99,,,2548.65,,,,,,,,,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15144.99,,,,,,,,,,,,,,,,,,949.0,,,,,,,,,,,,,,,,,238.95,,,2362.74,,,,,,,,,,
2018-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16960.01,,,,,,,,,,,,,,,,,,969.3,,,,,,,,,,,,,,,,,246.23,,,2398.0,,,,,,,,,,
2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17099.0,,,,,,,,,,,,,,,,,,1006.68,,,,,,,,,,,,,,,,,279.42,,,2524.72,,,,,,,,,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16174.22,,,,,,,,,,,,,,,,,,1118.3,,,,,,,,,,,,,,,,,272.14,,,2523.1,,,,,,,,,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14993.74,,,,,,,,,,,,,,,,,,1137.01,,,,,,,,,,,,,,,,,255.21,,,2408.76,,,,,,,,,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14480.99,,,,,,,,,,,,,,,,,,1290.01,,,,,,,,,,,,,,,,,246.89,,,2368.78,,,,,,,,,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14875.18,,,,,,,,,,,,,,,,,,1247.0,,,,,,,,,,,,,,,,,248.81,,,2859.97,,,,,,,,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13308.06,,,,,,,,,,,,,,,,,,1137.01,,,,,,,,,,,,,,,,,226.91,,,2433.8,,,,,,,,,,
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13820.0,,,,,,,,,,,,,,,,,,1260.0,,,,,,,,,,,,,,,,,235.52,,,2599.0,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14187.95,,,,,,,,,,,,,,,,,,1386.01,,,,,,,,,,,,,,,,,258.01,,,2654.94,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13656.23,,,,,,,,,,,,,,,,,,1365.46,,,,,,,,,,,,,,,,,237.89,,,2544.87,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13590.0,,,,,,,,,,,,,,,,,,1278.63,,,,,,,,,,,,,,,,,232.51,,,2400.06,,,,,,,,,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11570.01,,,,,,,,,,,,,,,,,,1080.0,,,,,,,,,,,,,,,,,191.13,,,1890.01,,,,,,,,,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11200.01,,,,,,,,,,,,,,,,,,1029.0,,,,,,,,,,,,,,,,,189.0,,,1755.98,,,,,,,,,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11280.0,,,,,,,,,,,,,,,,,,1025.78,,,,,,,,,,,,,,,,,192.57,,,1730.67,,,,,,,,,,
2018-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11498.99,,,,,,,,,,,,,,,,,,1037.45,,,,,,,,,,,,,,,,,192.5,,,1758.69,,,,,,,,,,
2018-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12762.8,,,,,,,,,,,,,,,,,,1150.02,,,,,,,,,,,,,,,,,210.91,,,2030.22,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11518.17,,,,,,,,,,,,,,,,,,1047.13,,,,,,,,,,,,,,,,,191.25,,,1770.0,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10766.7,,,,,,,,,,,,,,,,,,999.68,,,,,,,,,,,,,,,,,179.42,,,1609.34,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10824.94,,,,,,,,,,,,,,,,,,984.03,,,,,,,,,,,,,,,,,178.27,,,1613.22,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11356.79,,,,,,,,,,,,,,,,,,1056.99,,,,,,,,,,,,,,,,,180.6,,,1644.5,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11118.0,,,,,,,,,,,,,,,,,,1040.0,,,,,,,,,,,,,,,,,178.86,,,1628.39,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11086.88,,,,,,,,,,,,,,,,,,1045.58,,,,,,,,,,,,,,,,,175.71,,,1592.14,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11319.0,,,,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,,,,179.65,,,1613.41,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536.0,,,,,,,,,,,,,,,,,,1215.01,,,,,,,,,,,,,,,,,191.12,,,1719.99,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11123.01,,,,,,,,,,,,,,,,,,1162.28,,,,,,,,,,,,,,,,,179.57,,,1636.38,,,,,,,,,,
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9995.0,,,,,,,,,,,,,,,,,,1054.39,,,,,,,,,,,,,,,,,164.25,,,1446.0,,,,,,,,,,
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10099.99,,,,,,,,,,,,,,,,,,1105.01,,,,,,,,,,,,,,,,,161.89,,,1472.74,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9014.22,,,,,,,,,,,,,,,,,,1017.48,,,,,,,,,,,,,,,,,140.6,,,1254.86,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8787.52,,,,,,,,,,,,,,,,,,911.99,,,,,,,,,,,,,,,,,130.69,,,1181.0,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9227.8,,,,,,,,,,,,,,,,,,969.4,,,,,,,,,,,,,,,,,160.97,,,1269.71,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8167.91,,,,,,,,,,,,,,,,,,826.0,,,,,,,,,,,,,,,,,147.5,,,1156.16,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6905.2,,,,,,,,,,,,,,,,,,694.85,,,,,,,,,,,,,,,,,124.98,,,880.0,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7688.46,,,,,,,,,,,,,,,,,,783.83,,,,,,,,,,,,,,,,,142.0,,,968.01,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7575.76,,,,,,,,,,,,,,,,,,750.04,,,,,,,,,,,,,,,,,137.81,,,955.0,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8218.1,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,,,,,149.0,,,1278.0,,,,,,,,,,
2018-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8671.01,,,,,,,,,,,,,,,,,,875.99,,,,,,,,,,,,,,,,,164.1,,,1299.83,,,,,,,,,,
2018-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8547.49,,,,,,,,,,,,,,,,,,849.47,,,,,,,,,,,,,,,,,155.08,,,1239.7,,,,,,,,,,
