Name,Symbol,Market Cap,Date,Rank
BTCBitcoin,BTC,"$237,466,518,547.07",2017-12-31,1
XRPXRP,XRP,"$89,121,967,114.06",2017-12-31,2
ETHEthereum,ETH,"$73,170,132,771.99",2017-12-31,3
BCHBitcoin Cash,BCH,"$42,774,236,530.93",2017-12-31,4
ADACardano,ADA,"$18,659,588,487.38",2017-12-31,5
LTCLitecoin,LTC,"$12,663,197,417.17",2017-12-31,6
MIOTAIOTA,MIOTA,"$9,869,763,787.81",2017-12-31,7
XEMNEM,XEM,"$9,306,424,139.90",2017-12-31,8
DASHDash,DASH,"$8,189,388,164.00",2017-12-31,9
XLMStellar,XLM,"$6,442,724,493.37",2017-12-31,10
XMRMonero,XMR,"$5,426,210,002.08",2017-12-31,11
EOSEOS,EOS,"$5,041,642,753.40",2017-12-31,12
NEONeo,NEO,"$4,937,436,141.97",2017-12-31,13
QTUMQtum,QTUM,"$4,603,333,032.82",2017-12-31,14
BTGBitcoin Gold,BTG,"$4,380,775,196.80",2017-12-31,15
XVGVerge,XVG,"$3,208,728,455.06",2017-12-31,16
TRXTRON,TRX,"$2,942,336,038.18",2017-12-31,17
NANONano,NANO,"$2,885,869,971.17",2017-12-31,18
ETCEthereum Classic,ETC,"$2,765,755,613.58",2017-12-31,19
BCCBitConnect,BCC,"$2,593,243,079.16",2017-12-31,20
LSKLisk,LSK,"$2,377,903,943.13",2017-12-31,21
OMGOmiseGO,OMG,"$2,029,570,238.64",2017-12-31,22
ICXICON,ICX,"$2,017,629,553.50",2017-12-31,23
ARDRArdor,ARDR,"$1,718,412,421.71",2017-12-31,24
BTSBitShares,BTS,"$1,714,041,929.34",2017-12-31,25
PPTPopulous,PPT,"$1,536,709,576.52",2017-12-31,26
ZECZcash,ZEC,"$1,495,222,601.73",2017-12-31,27
USDTTether,USDT,"$1,384,856,529.14",2017-12-31,28
STRATStratis,STRAT,"$1,384,480,444.68",2017-12-31,29
WAVESWaves,WAVES,"$1,259,664,154.05",2017-12-31,30
HCHyperCash,HC,"$1,252,836,791.49",2017-12-31,31
BCNBytecoin,BCN,"$1,081,519,140.38",2017-12-31,32
KMDKomodo,KMD,"$1,028,847,875.79",2017-12-31,33
DOGEDogecoin,DOGE,"$1,010,010,505.34",2017-12-31,34
SCSiacoin,SC,"$952,864,370.88",2017-12-31,35
BNBBinance Coin,BNB,"$855,043,135.49",2017-12-31,36
SNTStatus,SNT,"$779,710,465.24",2017-12-31,37
REPAugur,REP,"$770,796,936.04",2017-12-31,38
STEEMSteem,STEEM,"$742,533,311.59",2017-12-31,39
NXTNxt,NXT,"$705,236,885.02",2017-12-31,40
GNTGolem,GNT,"$702,563,477.17",2017-12-31,41
SALTSALT,SALT,"$694,306,236.14",2017-12-31,42
ARKArk,ARK,"$690,015,346.97",2017-12-31,43
VERIVeritaseum,VERI,"$687,032,082.87",2017-12-31,44
DGBDigiByte,DGB,"$677,735,347.97",2017-12-31,45
VENVechain [Token],VEN,"$631,769,427.22",2017-12-31,46
DCRDecred,DCR,"$620,530,198.57",2017-12-31,47
PIVXPIVX,PIVX,"$574,347,609.40",2017-12-31,48
MONAMonaCoin,MONA,"$570,692,295.93",2017-12-31,49
FCTFactom,FCT,"$504,714,756.25",2017-12-31,50
WAXPWAX,WAXP,"$449,877,411.87",2017-12-31,51
GBYTEObyte,GBYTE,"$442,869,918.10",2017-12-31,52
ETNElectroneum,ETN,"$437,121,564.79",2017-12-31,53
PAYTenX,PAY,"$427,126,733.14",2017-12-31,54
MAIDMaidSafeCoin,MAID,"$426,316,255.01",2017-12-31,55
ZRX0x,ZRX,"$425,573,953.95",2017-12-31,56
XZCZcoin,XZC,"$424,983,272.52",2017-12-31,57
BTCDBitcoinDark,BTCD,"$416,134,573.08",2017-12-31,58
BATBasic Attention Token,BAT,"$412,202,924.49",2017-12-31,59
SYSSyscoin,SYS,"$392,494,838.35",2017-12-31,60
REQRequest,REQ,"$387,121,841.57",2017-12-31,61
FUNFunFair,FUN,"$360,493,225.53",2017-12-31,62
POWRPower Ledger,POWR,"$359,907,331.77",2017-12-31,63
XPExperience Points,XP,"$359,611,074.89",2017-12-31,64
BTMBytom,BTM,"$352,538,512.50",2017-12-31,65
KNCKyber Network,KNC,"$351,312,491.61",2017-12-31,66
KINKin,KIN,"$339,820,469.93",2017-12-31,67
RDDReddCoin,RDD,"$331,482,074.84",2017-12-31,68
DRGNDragonchain,DRGN,"$329,762,103.59",2017-12-31,69
KCSKuCoin Shares,KCS,"$326,203,559.37",2017-12-31,70
SANSantiment Network Token,SAN,"$325,390,878.43",2017-12-31,71
STORJStorj,STORJ,"$322,465,761.96",2017-12-31,72
AIONAion,AION,"$317,993,411.63",2017-12-31,73
DGDDigixDAO,DGD,"$312,348,602.29",2017-12-31,74
SKYSkycoin,SKY,"$309,817,885.01",2017-12-31,75
AEAeternity,AE,"$307,903,595.84",2017-12-31,76
QASHQASH,QASH,"$302,899,497.75",2017-12-31,77
CVCCivic,CVC,"$296,351,386.89",2017-12-31,78
VTCVertcoin,VTC,"$282,360,024.38",2017-12-31,79
WTCWaltonchain,WTC,"$281,581,663.58",2017-12-31,80
INKInk,INK,"$278,529,516.56",2017-12-31,81
GASGas,GAS,"$277,193,694.71",2017-12-31,82
ICNIconomi,ICN,"$272,230,698.01",2017-12-31,83
BTXBitcore,BTX,"$266,988,518.50",2017-12-31,84
GAMEGameCredits,GAME,"$265,743,851.43",2017-12-31,85
ELFaelf,ELF,"$250,536,084.18",2017-12-31,86
SUBSubstratum,SUB,"$248,378,331.69",2017-12-31,87
UBQUbiq,UBQ,"$233,665,381.68",2017-12-31,88
TRIGTriggers,TRIG,"$232,286,245.80",2017-12-31,89
GNOGnosis,GNO,"$232,205,360.52",2017-12-31,90
MANADecentraland,MANA,"$231,919,734.63",2017-12-31,91
QSPQuantstamp,QSP,"$231,122,198.52",2017-12-31,92
CNXCryptonex,CNX,"$225,568,070.24",2017-12-31,93
BCOBridgeCoin,BCO,"$222,486,044.88",2017-12-31,94
BLOCKBlocknet,BLOCK,"$220,662,052.72",2017-12-31,95
VGXVoyager Token,VGX,"$219,628,702.28",2017-12-31,96
SMARTSmartCash,SMART,"$214,726,254.82",2017-12-31,97
RDNRaiden Network Token,RDN,"$214,458,875.24",2017-12-31,98
GXCGXChain,GXC,"$211,705,929.28",2017-12-31,99
