time,open,high,low,close
2018-03-26T08:00:00+08:00,174.82,174.82,174.82,174.82
2018-03-27T08:00:00+08:00,175.78,175.78,175.78,175.78
2018-03-28T08:00:00+08:00,172.7,172.7,172.7,172.7
2018-03-29T08:00:00+08:00,155.55,155.55,155.55,155.55
2018-03-30T08:00:00+08:00,150.69,150.69,150.69,150.69
2018-04-02T08:00:00+08:00,151.48,151.48,151.48,151.48
2018-04-03T08:00:00+08:00,162.44,162.44,162.44,162.44
2018-04-04T08:00:00+08:00,149.52,149.52,149.52,149.52
2018-04-06T08:00:00+08:00,143.79,143.79,143.79,143.79
2018-04-09T08:00:00+08:00,147.48,147.48,147.48,147.48
2018-04-10T08:00:00+08:00,151.25,151.25,151.25,151.25
2018-04-11T08:00:00+08:00,154.61,154.61,154.61,154.61
2018-04-12T08:00:00+08:00,174.42,174.42,174.42,174.42
2018-04-13T08:00:00+08:00,180.24,180.24,180.24,180.24
2018-04-16T08:00:00+08:00,185.18,185.18,185.18,185.18
2018-04-17T08:00:00+08:00,185.41,185.41,185.41,185.41
2018-04-18T08:00:00+08:00,195.1,195.1,195.1,195.1
2018-04-19T08:00:00+08:00,202.72,202.72,202.72,202.72
2018-04-20T08:00:00+08:00,216.7,216.7,216.7,216.7
2018-04-23T08:00:00+08:00,227.3,227.3,227.3,227.3
2018-04-24T08:00:00+08:00,246.8,246.8,246.8,246.8
2018-04-25T08:00:00+08:00,230.43,230.43,230.43,230.43
2018-04-26T08:00:00+08:00,231.74,231.74,231.74,231.74
2018-04-27T08:00:00+08:00,231.27,231.27,231.27,231.27
2018-04-30T08:00:00+08:00,240.08,240.08,240.08,240.08
2018-05-01T08:00:00+08:00,237.54,237.54,237.54,237.54
2018-05-02T08:00:00+08:00,244.24,244.24,244.24,244.24
2018-05-03T08:00:00+08:00,255.98,255.98,255.98,255.98
2018-05-04T08:00:00+08:00,258.03,258.03,258.03,258.03
2018-05-07T08:00:00+08:00,251.35,251.35,251.35,251.35
2018-05-08T08:00:00+08:00,244.64,244.64,244.64,244.64
2018-05-09T08:00:00+08:00,243.38,243.38,243.38,243.38
2018-05-10T08:00:00+08:00,240.43,240.43,240.43,240.43
2018-05-11T08:00:00+08:00,215.15,215.15,215.15,215.15
2018-05-14T08:00:00+08:00,231.92,231.92,231.92,231.92
2018-05-15T08:00:00+08:00,221.23,221.23,221.23,221.23
2018-05-16T08:00:00+08:00,214.17,214.17,214.17,214.17
2018-05-17T08:00:00+08:00,210.45,210.45,210.45,210.45
2018-05-18T08:00:00+08:00,211.66,211.66,211.66,211.66
2018-05-21T08:00:00+08:00,215.08,215.08,215.08,215.08
2018-05-22T08:00:00+08:00,203.86,203.86,203.86,203.86
2018-05-23T08:00:00+08:00,187.87,187.87,187.87,187.87
2018-05-24T08:00:00+08:00,188.15,188.15,188.15,188.15
2018-05-25T08:00:00+08:00,185.24,185.24,185.24,185.24
